Kcp_vs_Ke_abscissa,Kcp_vs_Ke_spline,Kcp_vs_Ke_regression,Kcp_vs_Kpc_abscissa,Kcp_vs_Kpc_spline,Kcp_vs_Kpc_regression,Kcp_vs_Vc_abscissa,Kcp_vs_Vc_spline,Kcp_vs_Vc_regression,Ke_vs_Kcp_abscissa,Ke_vs_Kcp_spline,Ke_vs_Kcp_regression,Ke_vs_Kpc_abscissa,Ke_vs_Kpc_spline,Ke_vs_Kpc_regression,Ke_vs_Vc_abscissa,Ke_vs_Vc_spline,Ke_vs_Vc_regression,Kpc_vs_Kcp_abscissa,Kpc_vs_Kcp_spline,Kpc_vs_Kcp_regression,Kpc_vs_Ke_abscissa,Kpc_vs_Ke_spline,Kpc_vs_Ke_regression,Kpc_vs_Vc_abscissa,Kpc_vs_Vc_spline,Kpc_vs_Vc_regression,Vc_vs_Kcp_abscissa,Vc_vs_Kcp_spline,Vc_vs_Kcp_regression,Vc_vs_Ke_abscissa,Vc_vs_Ke_spline,Vc_vs_Ke_regression,Vc_vs_Kpc_abscissa,Vc_vs_Kpc_spline,Vc_vs_Kpc_regression
-0.227249,-0.473349,0.0159412,-0.953557,-0.523415,-0.883503,-1.38783,0.587734,-0.294759,-1.76948,-0.192456,0.0112564,-0.953557,-0.00917914,-0.0190934,-1.38783,-0.10601,-0.0985046,-1.76948,-1.09424,-0.987138,-0.227249,-0.548277,-0.0651936,-1.38783,-0.0180841,-0.16427,-1.76948,-0.0919762,-0.034337,-0.227249,-0.169735,-0.017985,-0.953557,0.416552,0.0330628
-0.213125,-0.456251,0.0183935,-0.899806,-0.492027,-0.833926,-1.34428,0.62648,-0.284562,-1.68423,-0.19097,0.0120829,-0.899806,-0.00502639,-0.0165676,-1.34428,-0.0997185,-0.0948444,-1.68423,-1.04594,-0.937894,-0.213125,-0.531799,-0.0577501,-1.34428,0.0172485,-0.157549,-1.68423,-0.0404528,-0.0267036,-0.213125,-0.129066,-0.00985535,-0.899806,0.420414,0.0381283
-0.199001,-0.439154,0.0208458,-0.846054,-0.460928,-0.784349,-1.30072,0.665225,-0.274366,-1.59897,-0.189485,0.0129095,-0.846054,-0.000884029,-0.0140417,-1.30072,-0.0934273,-0.0911841,-1.59897,-0.997638,-0.888651,-0.199001,-0.515321,-0.0503067,-1.30072,0.0525811,-0.150828,-1.59897,0.0110705,-0.0190703,-0.199001,-0.088398,-0.00172568,-0.846054,0.423933,0.0431939
-0.184877,-0.422056,0.0232981,-0.792303,-0.431504,-0.734772,-1.25716,0.697521,-0.264169,-1.51372,-0.188,0.0137361,-0.792303,0.00327825,-0.0115159,-1.25716,-0.0873648,-0.0875239,-1.51372,-0.949335,-0.839408,-0.184877,-0.498843,-0.0428632,-1.25716,0.0867927,-0.144107,-1.51372,0.0625938,-0.0114369,-0.184877,-0.0477296,0.00640399,-0.792303,0.425275,0.0482595
-0.170753,-0.404959,0.0257504,-0.738552,-0.405466,-0.685195,-1.2136,0.70305,-0.253973,-1.42847,-0.186514,0.0145626,-0.738552,0.00750534,-0.00899002,-1.2136,-0.0822511,-0.0838637,-1.42847,-0.901031,-0.790164,-0.170753,-0.482365,-0.0354198,-1.2136,0.116352,-0.137386,-1.42847,0.114117,-0.00380356,-0.170753,-0.00706124,0.0145337,-0.738552,0.422165,0.053325
-0.15663,-0.387862,0.0282028,-0.684801,-0.379428,-0.635618,-1.17004,0.694038,-0.243776,-1.34321,-0.168562,0.0153892,-0.684801,0.0117324,-0.00646417,-1.17004,-0.0771709,-0.0802034,-1.34321,-0.837445,-0.740921,-0.15663,-0.465887,-0.0279763,-1.17004,0.13686,-0.130665,-1.34321,0.143102,0.0038298,-0.15663,0.0336071,0.0226633,-0.684801,0.419056,0.0583906
-0.142506,-0.370764,0.0306551,-0.63105,-0.35339,-0.586041,-1.12648,0.679491,-0.23358,-1.25796,-0.141847,0.0162157,-0.63105,0.0159595,-0.00393832,-1.12648,-0.0721035,-0.0765432,-1.25796,-0.766038,-0.691677,-0.142506,-0.449409,-0.0205328,-1.12648,0.153923,-0.123944,-1.25796,0.159408,0.0114632,-0.142506,0.0742755,0.030793,-0.63105,0.415946,0.0634561
-0.128382,-0.353667,0.0331074,-0.577299,-0.327352,-0.536464,-1.08292,0.664945,-0.223383,-1.17271,-0.115321,0.0170423,-0.577299,0.0201866,-0.00141248,-1.08292,-0.067036,-0.0728829,-1.17271,-0.695223,-0.642434,-0.128382,-0.432931,-0.0130894,-1.08292,0.170987,-0.117223,-1.17271,0.175052,0.0190965,-0.128382,0.114944,0.0389227,-0.577299,0.412837,0.0685217
-0.114258,-0.336569,0.0355597,-0.523548,-0.301314,-0.486886,-1.03937,0.650398,-0.213187,-1.08746,-0.0891821,0.0178689,-0.523548,0.0244137,0.00111337,-1.03937,-0.0619686,-0.0692227,-1.08746,-0.625319,-0.59319,-0.114258,-0.416453,-0.00564591,-1.03937,0.18805,-0.110502,-1.08746,0.19001,0.0267299,-0.114258,0.155612,0.0470523,-0.523548,0.409727,0.0735872
-0.100134,-0.319472,0.038012,-0.469797,-0.275276,-0.437309,-0.995807,0.635852,-0.20299,-1.0022,-0.0642734,0.0186954,-0.469797,0.0286408,0.00363922,-0.995807,-0.0569012,-0.0655625,-1.0022,-0.557928,-0.543947,-0.100134,-0.399975,0.00179755,-0.995807,0.205114,-0.103781,-1.0022,0.203631,0.0343632,-0.100134,0.196281,0.055182,-0.469797,0.406618,0.0786528
