CL_vs_Q1_abscissa,CL_vs_Q1_spline,CL_vs_Q1_regression,CL_vs_Vc_abscissa,CL_vs_Vc_spline,CL_vs_Vc_regression,CL_vs_Vp1_abscissa,CL_vs_Vp1_spline,CL_vs_Vp1_regression,Q1_vs_CL_abscissa,Q1_vs_CL_spline,Q1_vs_CL_regression,Q1_vs_Vc_abscissa,Q1_vs_Vc_spline,Q1_vs_Vc_regression,Q1_vs_Vp1_abscissa,Q1_vs_Vp1_spline,Q1_vs_Vp1_regression,Vc_vs_CL_abscissa,Vc_vs_CL_spline,Vc_vs_CL_regression,Vc_vs_Q1_abscissa,Vc_vs_Q1_spline,Vc_vs_Q1_regression,Vc_vs_Vp1_abscissa,Vc_vs_Vp1_spline,Vc_vs_Vp1_regression,Vp1_vs_CL_abscissa,Vp1_vs_CL_spline,Vp1_vs_CL_regression,Vp1_vs_Q1_abscissa,Vp1_vs_Q1_spline,Vp1_vs_Q1_regression,Vp1_vs_Vc_abscissa,Vp1_vs_Vc_spline,Vp1_vs_Vc_regression
1.15074,0.15906,0.0350116,0.0619664,0.0739692,0.0245209,0.44289,0.0158532,0.0237162,0.381016,-0.0907438,-0.0883779,0.0619664,-0.0163555,-0.035868,0.44289,-0.620219,-0.515134,0.381016,-0.0332799,-0.0161676,1.15074,-0.0282099,0.0240291,0.44289,-0.0691428,-0.0340914,0.381016,0.0398488,0.030017,1.15074,-0.606041,-0.596234,0.0619664,-0.0321408,-0.0179871
1.19391,0.155335,0.0354634,0.072493,0.0710246,0.0248776,0.476164,0.016183,0.0238707,0.401878,-0.109281,-0.0868695,0.072493,-0.0347227,-0.0256807,0.476164,-0.675621,-0.546978,0.401878,-0.0299478,-0.0159954,1.19391,-0.026251,0.0255018,0.476164,-0.0747029,-0.0352799,0.401878,0.0455905,0.0303597,1.19391,-0.601166,-0.6174,0.072493,-0.033354,-0.0234519
1.23707,0.149622,0.0359151,0.0830197,0.0670305,0.0252343,0.509437,0.0175849,0.0240251,0.422739,-0.129414,-0.0853611,0.0830197,-0.0506663,-0.0154935,0.509437,-0.727607,-0.578821,0.422739,-0.0262015,-0.0158232,1.23707,-0.0235456,0.0269745,0.509437,-0.0794935,-0.0364684,0.422739,0.0520818,0.0307025,1.23707,-0.595944,-0.638566,0.0830197,-0.0337762,-0.0289167
1.28024,0.143909,0.0363668,0.0935463,0.0624176,0.0255911,0.542711,0.019416,0.0241795,0.443601,-0.149546,-0.0838527,0.0935463,-0.0649515,-0.00530616,0.542711,-0.778204,-0.610665,0.443601,-0.0224552,-0.015651,1.28024,-0.0208402,0.0284472,0.542711,-0.0839919,-0.0376569,0.443601,0.0585731,0.0310452,1.28024,-0.590722,-0.659733,0.0935463,-0.0337335,-0.0343815
1.3234,0.138196,0.0368185,0.104073,0.0572417,0.0259478,0.575984,0.023049,0.0243339,0.464463,-0.169743,-0.0823443,0.104073,-0.076568,0.00488113,0.575984,-0.822929,-0.642508,0.464463,-0.018663,-0.0154788,1.3234,-0.0181348,0.0299199,0.575984,-0.0872461,-0.0388454,0.464463,0.0648171,0.031388,1.3234,-0.5855,-0.680899,0.104073,-0.0332817,-0.0398462
1.36657,0.132483,0.0372702,0.1146,0.0510958,0.0263045,0.609257,0.0279121,0.0244883,0.485324,-0.190073,-0.0808359,0.1146,-0.0832422,0.0150684,0.609257,-0.863483,-0.674352,0.485324,-0.0147743,-0.0153066,1.36657,-0.0154294,0.0313926,0.609257,-0.0895357,-0.040034,0.485324,0.0705404,0.0317308,1.36657,-0.580278,-0.702066,0.1146,-0.0321648,-0.045311
1.40973,0.12677,0.0377219,0.125126,0.0441343,0.0266612,0.642531,0.0336037,0.0246428,0.506186,-0.210309,-0.0793275,0.125126,-0.0849703,0.0252557,0.642531,-0.901163,-0.706196,0.506186,-0.0109047,-0.0151345,1.40973,-0.012724,0.0328653,0.642531,-0.091124,-0.0412225,0.506186,0.0761678,0.0320735,1.40973,-0.575057,-0.723232,0.125126,-0.0306737,-0.0507758
1.4529,0.121058,0.0381736,0.135653,0.0368143,0.0270179,0.675804,0.0395032,0.0247972,0.527047,-0.22725,-0.0778191,0.135653,-0.084375,0.035443,0.675804,-0.938072,-0.738039,0.527047,-0.00770282,-0.0149623,1.4529,-0.0100186,0.0343379,0.675804,-0.0924971,-0.042411,0.527047,0.0784627,0.0324163,1.4529,-0.569835,-0.744398,0.135653,-0.0291072,-0.0562406
1.49606,0.115345,0.0386253,0.14618,0.0288801,0.0273746,0.709077,0.0463713,0.0249516,0.547909,-0.24419,-0.0763107,0.14618,-0.0794011,0.0456303,0.709077,-0.971313,-0.769883,0.547909,-0.0045009,-0.0147901,1.49606,-0.00731323,0.0358106,0.709077,-0.0928073,-0.0435995,0.547909,0.0807576,0.032759,1.49606,-0.564613,-0.765565,0.14618,-0.0276474,-0.0617054
1.53923,0.109632,0.0390771,0.156706,0.0206789,0.0277313,0.742351,0.0536306,0.025106,0.568771,-0.25866,-0.0748023,0.156706,-0.0723437,0.0558176,0.742351,-1.00287,-0.801726,0.568771,-0.00182948,-0.0146179,1.53923,-0.00460783,0.0372833,0.742351,-0.0925295,-0.044788,0.568771,0.0808425,0.0331018,1.53923,-0.559391,-0.786731,0.156706,-0.0263408,-0.0671702
1.58239,0.103919,0.0395288,0.167233,0.0122435,0.0280881,0.775624,0.0610846,0.0252604,0.589632,-0.270253,-0.0732939,0.167233,-0.0630072,0.0660049,0.775624,-1.03337,-0.83357,0.589632,0.000223559,-0.0144457,1.58239,-0.00190243,0.038756,0.775624,-0.0917846,-0.0459765,0.589632,0.078351,0.0334445,1.58239,-0.554169,-0.807897,0.167233,-0.0254363,-0.072635
1.62556,0.0982063,0.0399805,0.177759,0.00358984,0.0284448,0.808897,0.0686157,0.0254149,0.610494,-0.275739,-0.0717855,0.177759,-0.050919,0.0761922,0.808897,-1.06259,-0.865414,0.610494,0.000938131,-0.0142735,1.62556,0.00080297,0.0402287,0.808897,-0.0901685,-0.047165,0.610494,0.0706464,0.0337873,1.62556,-0.548947,-0.829064,0.177759,-0.0252792,-0.0780997
1.66872,0.0924935,0.0404322,0.188286,-0.00508563,0.0288015,0.842171,0.0761163,0.0255693,0.631355,-0.280652,-0.0702771,0.188286,-0.0373166,0.0863794,0.842171,-1.09159,-0.897257,0.631355,0.00152721,-0.0141013,1.66872,0.00350837,0.0417014,0.842171,-0.088322,-0.0483535,0.631355,0.062453,0.03413,1.66872,-0.543725,-0.85023,0.188286,-0.0259322,-0.0835645
1.71189,0.0867807,0.0408839,0.198813,-0.0135693,0.0291582,0.875444,0.0828397,0.0257237,0.652217,-0.271648,-0.0687688,0.198813,-0.0210109,0.0965667,0.875444,-1.1216,-0.929101,0.652217,-0.000971753,-0.0139291,1.71189,0.00621377,0.0431741,0.875444,-0.0858026,-0.049542,0.652217,0.0427332,0.0344728,1.71189,-0.538503,-0.871397,0.198813,-0.0289672,-0.0890293
1.75505,0.0810678,0.0413356,0.209339,-0.0220531,0.0295149,0.908718,0.0887778,0.0258781,0.673079,-0.261123,-0.0672604,0.209339,-0.00470513,0.106754,0.908718,-1.15263,-0.960944,0.673079,-0.00380804,-0.0137569,1.75505,0.00891917,0.0446468,0.908718,-0.0826034,-0.0507305,0.673079,0.0217543,0.0348155,1.75505,-0.533282,-0.892563,0.209339,-0.0320022,-0.0944941
1.79822,0.075355,0.0417873,0.219866,-0.0305368,0.0298716,0.941991,0.094716,0.0260325,0.69394,-0.250599,-0.065752,0.219866,0.0116006,0.116941,0.941991,-1.18367,-0.992788,0.69394,-0.00664433,-0.0135847,1.79822,0.0116246,0.0461195,0.941991,-0.0794042,-0.051919,0.69394,0.000775479,0.0351583,1.79822,-0.52806,-0.913729,0.219866,-0.0350372,-0.0999589
