pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.213971,0.258824,-0.785353,0.258824,-0.2726,0.258824,All
-0.213694,0.261765,-0.77864,0.261765,-0.270348,0.261765,All
-0.211794,0.264706,-0.769906,0.264706,-0.265284,0.264706,All
-0.211674,0.267647,-0.76759,0.267647,-0.25973,0.267647,All
-0.211461,0.270588,-0.765399,0.270588,-0.258482,0.270588,All
-0.211148,0.273529,-0.763786,0.273529,-0.258283,0.273529,All
-0.211009,0.276471,-0.752344,0.276471,-0.256419,0.276471,All
-0.210848,0.279412,-0.746346,0.279412,-0.251832,0.279412,All
-0.210284,0.282353,-0.740717,0.282353,-0.251113,0.282353,All
-0.210132,0.285294,-0.736702,0.285294,-0.245301,0.285294,All
-0.207372,0.288235,-0.722448,0.288235,-0.241998,0.288235,All
-0.207226,0.291176,-0.718839,0.291176,-0.234106,0.291176,All
-0.206738,0.294118,-0.715023,0.294118,-0.233336,0.294118,All
-0.206511,0.297059,-0.712182,0.297059,-0.22777,0.297059,All
-0.20647,0.3,-0.706513,0.3,-0.224986,0.3,All
-0.205993,0.302941,-0.700072,0.302941,-0.22433,0.302941,All
-0.204916,0.305882,-0.695501,0.305882,-0.214472,0.305882,All
-0.204252,0.308824,-0.685407,0.308824,-0.208653,0.308824,All
-0.204026,0.311765,-0.683977,0.311765,-0.207896,0.311765,All
-0.203929,0.314706,-0.664249,0.314706,-0.2073,0.314706,All
-0.202746,0.317647,-0.642671,0.317647,-0.202431,0.317647,All
-0.202446,0.320588,-0.633845,0.320588,-0.197257,0.320588,All
-0.202066,0.323529,-0.615088,0.323529,-0.195857,0.323529,All
-0.201919,0.326471,-0.612482,0.326471,-0.19286,0.326471,All
-0.201446,0.329412,-0.610622,0.329412,-0.190271,0.329412,All
-0.201354,0.332353,-0.602184,0.332353,-0.189126,0.332353,All
-0.201207,0.335294,-0.599196,0.335294,-0.176514,0.335294,All
-0.199759,0.338235,-0.598898,0.338235,-0.176109,0.338235,All
-0.198592,0.341176,-0.587529,0.341176,-0.173441,0.341176,All
-0.197475,0.344118,-0.586871,0.344118,-0.164113,0.344118,All
-0.196252,0.347059,-0.574072,0.347059,-0.160605,0.347059,All
-0.195556,0.35,-0.553269,0.35,-0.158639,0.35,All
-0.195145,0.352941,-0.546381,0.352941,-0.155942,0.352941,All
-0.1941,0.355882,-0.540066,0.355882,-0.150245,0.355882,All
-0.194059,0.358824,-0.528393,0.358824,-0.146662,0.358824,All
-0.193258,0.361765,-0.525789,0.361765,-0.142696,0.361765,All
-0.193078,0.364706,-0.519357,0.364706,-0.136213,0.364706,All
-0.192402,0.367647,-0.51924,0.367647,-0.133176,0.367647,All
-0.192179,0.370588,-0.515408,0.370588,-0.130909,0.370588,All
-0.191421,0.373529,-0.496639,0.373529,-0.127291,0.373529,All
-0.19068,0.376471,-0.479174,0.376471,-0.125504,0.376471,All
-0.190242,0.379412,-0.478639,0.379412,-0.120026,0.379412,All
-0.190019,0.382353,-0.457172,0.382353,-0.11683,0.382353,All
-0.189944,0.385294,-0.453541,0.385294,-0.108568,0.385294,All
-0.1898,0.388235,-0.448613,0.388235,-0.100545,0.388235,All
-0.188955,0.391176,-0.439775,0.391176,-0.100139,0.391176,All
-0.188326,0.394118,-0.43969,0.394118,-0.0963164,0.394118,All
-0.18798,0.397059,-0.428335,0.397059,-0.095507,0.397059,All
-0.187924,0.4,-0.419935,0.4,-0.0792688,0.4,All
-0.187408,0.402941,-0.40376,0.402941,-0.0780605,0.402941,All
-0.187398,0.405882,-0.394286,0.405882,-0.0766706,0.405882,All
-0.186932,0.408824,-0.370119,0.408824,-0.0765871,0.408824,All
-0.185503,0.411765,-0.367441,0.411765,-0.0720625,0.411765,All
-0.185415,0.414706,-0.362898,0.414706,-0.0674418,0.414706,All
-0.185274,0.417647,-0.32336,0.417647,-0.0671798,0.417647,All
-0.185127,0.420588,-0.3091,0.420588,-0.0625581,0.420588,All
-0.18509,0.423529,-0.298005,0.423529,-0.0611825,0.423529,All
-0.184825,0.426471,-0.277565,0.426471,-0.0563191,0.426471,All
-0.184214,0.429412,-0.270984,0.429412,-0.052516,0.429412,All
-0.183156,0.432353,-0.267217,0.432353,-0.0457462,0.432353,All
-0.182279,0.435294,-0.266852,0.435294,-0.0409003,0.435294,All
-0.181793,0.438235,-0.264269,0.438235,-0.0407109,0.438235,All
-0.181282,0.441176,-0.231175,0.441176,-0.032547,0.441176,All
-0.180454,0.444118,-0.219634,0.444118,-0.0302082,0.444118,All
-0.180407,0.447059,-0.215888,0.447059,-0.0288246,0.447059,All
-0.180344,0.45,-0.214611,0.45,-0.0250338,0.45,All
-0.179707,0.452941,-0.213493,0.452941,-0.0249782,0.452941,All
-0.179371,0.455882,-0.203699,0.455882,-0.0226687,0.455882,All
-0.178969,0.458824,-0.19894,0.458824,-0.0159783,0.458824,All
-0.178688,0.461765,-0.193609,0.461765,-0.0151897,0.461765,All
-0.178453,0.464706,-0.19048,0.464706,-0.013563,0.464706,All
-0.178234,0.467647,-0.190312,0.467647,-0.013474,0.467647,All
-0.178107,0.470588,-0.185763,0.470588,-0.0131565,0.470588,All
-0.177439,0.473529,-0.172744,0.473529,-0.00939712,0.473529,All
-0.177271,0.476471,-0.1699,0.476471,-0.00601021,0.476471,All
-0.175538,0.479412,-0.164828,0.479412,-0.00561771,0.479412,All
-0.175348,0.482353,-0.15175,0.482353,-0.00461736,0.482353,All
-0.173885,0.485294,-0.133491,0.485294,-0.00296424,0.485294,All
-0.173814,0.488235,-0.122089,0.488235,-0.00270407,0.488235,All
-0.173548,0.491176,-0.119831,0.491176,-0.000467245,0.491176,All
-0.173237,0.494118,-0.119362,0.494118,0.00411721,0.494118,All
-0.172876,0.497059,-0.10993,0.497059,0.00910603,0.497059,All
-0.172716,0.5,-0.103867,0.5,0.0109301,0.5,All
-0.171343,0.502941,-0.0960556,0.502941,0.0122252,0.502941,All
-0.171012,0.505882,-0.0833815,0.505882,0.0125607,0.505882,All
-0.170868,0.508824,-0.0749462,0.508824,0.0147424,0.508824,All
-0.170776,0.511765,-0.0655947,0.511765,0.0153429,0.511765,All
-0.170611,0.514706,-0.0597521,0.514706,0.0206775,0.514706,All
-0.170467,0.517647,-0.0535144,0.517647,0.0283505,0.517647,All
-0.170425,0.520588,-0.045681,0.520588,0.0389084,0.520588,All
-0.169319,0.523529,-0.0447663,0.523529,0.0392791,0.523529,All
-0.169139,0.526471,-0.0227673,0.526471,0.041923,0.526471,All
-0.167727,0.529412,-0.00823858,0.529412,0.0451576,0.529412,All
-0.16673,0.532353,-0.00406231,0.532353,0.0453361,0.532353,All
-0.166418,0.535294,0.00244613,0.535294,0.0538143,0.535294,All
-0.166263,0.538235,0.00403811,0.538235,0.0572962,0.538235,All
-0.166086,0.541176,0.0089786,0.541176,0.0721529,0.541176,All
-0.165747,0.544118,0.017719,0.544118,0.0752382,0.544118,All
-0.165088,0.547059,0.0194049,0.547059,0.0805189,0.547059,All
-0.164242,0.55,0.0303084,0.55,0.0856578,0.55,All
-0.163602,0.552941,0.0342925,0.552941,0.0873937,0.552941,All
-0.163303,0.555882,0.0386581,0.555882,0.0877614,0.555882,All
-0.162424,0.558824,0.0406248,0.558824,0.0920708,0.558824,All
-0.16231,0.561765,0.0462428,0.561765,0.0980537,0.561765,All
-0.162102,0.564706,0.0636957,0.564706,0.10466,0.564706,All
-0.160805,0.567647,0.072702,0.567647,0.108256,0.567647,All
-0.160587,0.570588,0.0821603,0.570588,0.11777,0.570588,All
-0.160043,0.573529,0.0855682,0.573529,0.121959,0.573529,All
-0.159456,0.576471,0.0897822,0.576471,0.12235,0.576471,All
-0.159287,0.579412,0.0903253,0.579412,0.130307,0.579412,All
-0.158832,0.582353,0.114068,0.582353,0.136122,0.582353,All
-0.155415,0.585294,0.117984,0.585294,0.140334,0.585294,All
