pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.540227,0.2,-0.554789,0.2,-0.909655,0.2,All
-0.532614,0.202299,-0.547605,0.202299,-0.897236,0.202299,All
-0.528915,0.204598,-0.543376,0.204598,-0.853461,0.204598,All
-0.520179,0.206897,-0.539917,0.206897,-0.829313,0.206897,All
-0.519492,0.209195,-0.538846,0.209195,-0.82211,0.209195,All
-0.519097,0.211494,-0.534765,0.211494,-0.820225,0.211494,All
-0.517821,0.213793,-0.507704,0.213793,-0.806733,0.213793,All
-0.514811,0.216092,-0.500794,0.216092,-0.803805,0.216092,All
-0.514802,0.218391,-0.49488,0.218391,-0.803599,0.218391,All
-0.511606,0.22069,-0.489926,0.22069,-0.759327,0.22069,All
-0.502242,0.222989,-0.481685,0.222989,-0.749518,0.222989,All
-0.499427,0.225287,-0.47462,0.225287,-0.730955,0.225287,All
-0.497433,0.227586,-0.449329,0.227586,-0.723236,0.227586,All
-0.493186,0.229885,-0.447888,0.229885,-0.701081,0.229885,All
-0.492499,0.232184,-0.440026,0.232184,-0.678428,0.232184,All
-0.488695,0.234483,-0.431115,0.234483,-0.671707,0.234483,All
-0.483982,0.236782,-0.427279,0.236782,-0.653736,0.236782,All
-0.483136,0.23908,-0.420166,0.23908,-0.649015,0.23908,All
-0.475363,0.241379,-0.406267,0.241379,-0.641546,0.241379,All
-0.474417,0.243678,-0.395416,0.243678,-0.633008,0.243678,All
-0.471736,0.245977,-0.393583,0.245977,-0.632503,0.245977,All
-0.470666,0.248276,-0.388928,0.248276,-0.629956,0.248276,All
-0.46967,0.250575,-0.386884,0.250575,-0.618474,0.250575,All
-0.469026,0.252874,-0.367299,0.252874,-0.616441,0.252874,All
-0.468282,0.255172,-0.349701,0.255172,-0.603775,0.255172,All
-0.466597,0.257471,-0.345783,0.257471,-0.602797,0.257471,All
-0.466317,0.25977,-0.336162,0.25977,-0.602412,0.25977,All
-0.465134,0.262069,-0.3231,0.262069,-0.598102,0.262069,All
-0.46406,0.264368,-0.322686,0.264368,-0.588714,0.264368,All
-0.463987,0.266667,-0.315691,0.266667,-0.579205,0.266667,All
-0.462872,0.268966,-0.296994,0.268966,-0.578757,0.268966,All
-0.462832,0.271264,-0.292196,0.271264,-0.551721,0.271264,All
-0.461566,0.273563,-0.290565,0.273563,-0.546261,0.273563,All
-0.460919,0.275862,-0.281118,0.275862,-0.545635,0.275862,All
-0.459665,0.278161,-0.273018,0.278161,-0.540572,0.278161,All
-0.455541,0.28046,-0.272365,0.28046,-0.538227,0.28046,All
-0.453379,0.282759,-0.270006,0.282759,-0.536053,0.282759,All
-0.452896,0.285057,-0.268627,0.285057,-0.534979,0.285057,All
-0.451818,0.287356,-0.267323,0.287356,-0.532319,0.287356,All
-0.449058,0.289655,-0.244738,0.289655,-0.522113,0.289655,All
-0.443671,0.291954,-0.242204,0.291954,-0.522037,0.291954,All
-0.440027,0.294253,-0.235717,0.294253,-0.519605,0.294253,All
-0.435055,0.296552,-0.23142,0.296552,-0.516534,0.296552,All
-0.434966,0.298851,-0.221726,0.298851,-0.510163,0.298851,All
-0.434565,0.301149,-0.214696,0.301149,-0.506541,0.301149,All
-0.434418,0.303448,-0.203571,0.303448,-0.501118,0.303448,All
-0.432538,0.305747,-0.187568,0.305747,-0.487593,0.305747,All
-0.432076,0.308046,-0.183301,0.308046,-0.486897,0.308046,All
-0.430671,0.310345,-0.182929,0.310345,-0.482612,0.310345,All
-0.430517,0.312644,-0.173201,0.312644,-0.4812,0.312644,All
-0.429559,0.314943,-0.166286,0.314943,-0.477486,0.314943,All
-0.419887,0.317241,-0.163048,0.317241,-0.468642,0.317241,All
-0.41906,0.31954,-0.152313,0.31954,-0.463704,0.31954,All
-0.416577,0.321839,-0.139405,0.321839,-0.433712,0.321839,All
-0.416524,0.324138,-0.13345,0.324138,-0.423162,0.324138,All
-0.415273,0.326437,-0.132738,0.326437,-0.418151,0.326437,All
-0.414237,0.328736,-0.124947,0.328736,-0.401231,0.328736,All
-0.411803,0.331034,-0.122032,0.331034,-0.358601,0.331034,All
-0.406262,0.333333,-0.120596,0.333333,-0.346299,0.333333,All
-0.402684,0.335632,-0.112562,0.335632,-0.340135,0.335632,All
-0.401569,0.337931,-0.0740232,0.337931,-0.334194,0.337931,All
-0.400756,0.34023,-0.0694711,0.34023,-0.332268,0.34023,All
-0.400383,0.342529,-0.0606499,0.342529,-0.322981,0.342529,All
-0.399561,0.344828,-0.060271,0.344828,-0.32188,0.344828,All
-0.399133,0.347126,-0.059018,0.347126,-0.315305,0.347126,All
-0.398807,0.349425,-0.0464953,0.349425,-0.302496,0.349425,All
-0.396712,0.351724,-0.0443767,0.351724,-0.291841,0.351724,All
-0.395919,0.354023,-0.0438458,0.354023,-0.283556,0.354023,All
-0.39454,0.356322,-0.0428597,0.356322,-0.275877,0.356322,All
-0.391962,0.358621,-0.0360991,0.358621,-0.271356,0.358621,All
-0.389452,0.36092,-0.0155322,0.36092,-0.271034,0.36092,All
-0.38924,0.363218,-0.0134917,0.363218,-0.269422,0.363218,All
-0.388341,0.365517,-0.0133879,0.365517,-0.268388,0.365517,All
-0.388178,0.367816,-0.00876347,0.367816,-0.266714,0.367816,All
-0.387856,0.370115,-0.00648263,0.370115,-0.263812,0.370115,All
-0.386752,0.372414,-0.00373776,0.372414,-0.262645,0.372414,All
-0.386624,0.374713,0.00551256,0.374713,-0.258185,0.374713,All
-0.386123,0.377011,0.0110738,0.377011,-0.245324,0.377011,All
-0.382666,0.37931,0.0115592,0.37931,-0.245226,0.37931,All
-0.381776,0.381609,0.012381,0.381609,-0.242815,0.381609,All
-0.377008,0.383908,0.0182335,0.383908,-0.24278,0.383908,All
-0.376997,0.386207,0.0231214,0.386207,-0.236058,0.386207,All
-0.375867,0.388506,0.0260066,0.388506,-0.23287,0.388506,All
-0.373463,0.390805,0.0271355,0.390805,-0.232625,0.390805,All
-0.37318,0.393103,0.0273553,0.393103,-0.230086,0.393103,All
