iteration,convergenceIndicator,phase,CL_pop,Q1_pop,Vc_pop,Vp1_pop,b,omega_CL,omega_Q1,omega_Vc,omega_Vp1
59,-1003.9,2,10.6844,0.172344,12.9609,12.224,0.913326,1.03141,1.60436,0.783189,0.840632
60,-1008.21,2,10.5974,0.169739,12.9566,12.5275,0.919719,1.03859,1.60085,0.785902,0.859893
61,-1009.89,2,10.4949,0.173225,12.8446,12.6036,0.905346,1.03502,1.63045,0.774067,0.861365
62,-999.244,2,10.4677,0.175674,13.032,12.4842,0.897729,1.02912,1.64198,0.771812,0.844318
63,-1012.94,2,10.4972,0.175431,13.0391,12.3384,0.896238,1.02764,1.65047,0.761979,0.835127
64,-1006.83,2,10.5594,0.177003,13.0784,12.3553,0.89463,1.03692,1.65517,0.775173,0.832161
65,-1002.58,2,10.5915,0.177064,13.1606,12.201,0.896142,1.03875,1.64135,0.772949,0.82867
66,-999.76,2,10.6213,0.176515,13.0939,12.1155,0.900303,1.04,1.637,0.782183,0.842479
67,-1005.29,2,10.6671,0.175662,12.9956,11.7825,0.90291,1.04294,1.62047,0.787328,0.844145
68,-1006.53,2,10.7062,0.175463,13.0165,11.6248,0.90487,1.04159,1.61229,0.784627,0.848742
69,-997.309,2,10.7199,0.176305,12.9849,11.4634,0.90064,1.04276,1.6125,0.791444,0.850723
70,-1012.43,2,10.7383,0.176248,13.0067,11.477,0.900003,1.04279,1.6109,0.798662,0.852192
71,-1000.24,2,10.7531,0.176488,13.0379,11.4755,0.900015,1.04324,1.60816,0.799853,0.853048
