time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
13.0957,0.121016,13.0957,0.215452,13.0957,0.116351,15.7591,0.142815,11.6126,0.230575,15.7591,0.175176,All
14.6479,0.112742,14.6479,0.208408,14.6479,0.106316,16.5672,0.143571,13.2139,0.230428,16.5672,0.176613,All
16.9201,0.10063,16.9201,0.198095,16.9201,0.0916273,18.2486,0.145144,15.0237,0.234445,18.2486,0.179603,All
21.8613,0.0742897,21.8613,0.175669,21.8613,0.0596835,19.8591,0.146651,19.4368,0.265101,19.8591,0.182467,All
21.9714,0.0737029,21.9714,0.17517,21.9714,0.0589719,21.1314,0.147841,19.8205,0.269173,21.1314,0.18473,All
28.2455,0.066798,28.2455,0.15185,28.2455,0.0432075,23.151,0.149731,25.1462,0.318719,23.151,0.188322,All
29.2948,0.0869193,29.2948,0.154031,29.2948,0.0609484,24.4695,0.150965,26.427,0.320769,24.4695,0.190667,All
36.4942,0.168778,36.4942,0.20954,36.4942,0.149993,26.4429,0.152811,32.5326,0.260892,26.4429,0.194176,All
36.6183,0.168566,36.6183,0.209784,36.6183,0.149837,28.335,0.154581,33.0335,0.251433,28.335,0.197541,All
43.9418,0.156051,43.9418,0.224175,43.9418,0.140651,29.7348,0.155891,39.6401,0.128262,29.7348,0.20003,All
47.1517,0.150565,47.1517,0.230483,47.1517,0.136625,32.8112,0.158769,42.0888,0.104697,32.8112,0.205501,All
51.2652,0.143535,51.2652,0.238566,51.2652,0.131465,33.0267,0.158971,46.2466,0.108304,33.0267,0.205884,All
58.5887,0.13102,58.5887,0.252957,58.5887,0.122279,36.3186,0.113093,52.8532,0.167024,36.3186,0.121671,All
60.9216,-0.100055,60.9216,0.161425,60.9216,-0.0154978,37.9945,0.0845266,54.452,0.182148,37.9945,0.0796814,All
65.9121,0.515578,65.9121,0.364786,65.9121,0.27889,39.6105,0.0631772,59.4597,0.222191,39.6105,0.0651399,All
73.2356,0.332808,73.2356,0.258384,73.2356,0.183762,42.9025,0.0241642,66.0663,0.25825,42.9025,0.0444725,All
78.7127,0.196117,78.7127,0.178807,78.7127,0.112616,43.9965,0.0149917,70.4468,0.270636,43.9965,0.0397435,All
80.5591,0.150039,80.5591,0.151982,80.5591,0.0886335,46.1944,0.0158049,72.6728,0.275747,46.1944,0.0398496,All
87.8825,-0.0327311,87.8825,0.0455801,87.8825,-0.00649503,49.4863,0.0170229,79.2793,0.258179,49.4863,0.0400087,All
95.206,-0.0830655,95.206,-0.0481708,95.206,-0.0650832,50.9468,0.0175633,85.8859,0.235027,50.9468,0.0400792,All
