pwRes_abscissa,pwRes_cdf,iwRes_abscissa,iwRes_cdf,npde_abscissa,npde_cdf,split
-0.586275,0.2,-0.587489,0.2,-0.840667,0.2,All
-0.577728,0.202299,-0.586439,0.202299,-0.838935,0.202299,All
-0.570384,0.204598,-0.569893,0.204598,-0.825,0.204598,All
-0.565181,0.206897,-0.564883,0.206897,-0.810004,0.206897,All
-0.563269,0.209195,-0.553434,0.209195,-0.805355,0.209195,All
-0.560115,0.211494,-0.547962,0.211494,-0.787526,0.211494,All
-0.555534,0.213793,-0.544931,0.213793,-0.787055,0.213793,All
-0.551387,0.216092,-0.542323,0.216092,-0.774136,0.216092,All
-0.549636,0.218391,-0.527219,0.218391,-0.769501,0.218391,All
-0.544385,0.22069,-0.521945,0.22069,-0.760681,0.22069,All
-0.535912,0.222989,-0.519465,0.222989,-0.756933,0.222989,All
-0.535465,0.225287,-0.514671,0.225287,-0.75636,0.225287,All
-0.53292,0.227586,-0.508446,0.227586,-0.742535,0.227586,All
-0.530238,0.229885,-0.506294,0.229885,-0.732891,0.229885,All
-0.528616,0.232184,-0.503288,0.232184,-0.730882,0.232184,All
-0.519339,0.234483,-0.497878,0.234483,-0.72914,0.234483,All
-0.518687,0.236782,-0.486429,0.236782,-0.70804,0.236782,All
-0.518312,0.23908,-0.47945,0.23908,-0.707854,0.23908,All
-0.516651,0.241379,-0.47804,0.241379,-0.697673,0.241379,All
-0.513674,0.243678,-0.465204,0.243678,-0.690142,0.243678,All
-0.507519,0.245977,-0.452374,0.245977,-0.657654,0.245977,All
-0.50542,0.248276,-0.44679,0.248276,-0.653483,0.248276,All
-0.504425,0.250575,-0.438404,0.250575,-0.652865,0.250575,All
-0.502949,0.252874,-0.41939,0.252874,-0.641546,0.252874,All
-0.502887,0.255172,-0.408003,0.255172,-0.636467,0.255172,All
-0.502434,0.257471,-0.401584,0.257471,-0.608818,0.257471,All
-0.502246,0.25977,-0.39631,0.25977,-0.606624,0.25977,All
-0.499414,0.262069,-0.387727,0.262069,-0.604673,0.262069,All
-0.498904,0.264368,-0.357096,0.264368,-0.573298,0.264368,All
-0.498433,0.266667,-0.352743,0.266667,-0.56479,0.266667,All
-0.496321,0.268966,-0.344996,0.268966,-0.563771,0.268966,All
-0.495824,0.271264,-0.33333,0.271264,-0.563158,0.271264,All
-0.494502,0.273563,-0.332773,0.273563,-0.547312,0.273563,All
-0.492718,0.275862,-0.323007,0.275862,-0.544569,0.275862,All
-0.491787,0.278161,-0.309038,0.278161,-0.540925,0.278161,All
-0.491715,0.28046,-0.307276,0.28046,-0.539709,0.28046,All
-0.490546,0.282759,-0.305069,0.282759,-0.538178,0.282759,All
-0.487948,0.285057,-0.29663,0.285057,-0.532478,0.285057,All
-0.485648,0.287356,-0.27543,0.287356,-0.532257,0.287356,All
-0.481375,0.289655,-0.264928,0.289655,-0.528564,0.289655,All
-0.48028,0.291954,-0.261671,0.291954,-0.525915,0.291954,All
-0.479111,0.294253,-0.252687,0.294253,-0.518718,0.294253,All
-0.478841,0.296552,-0.251333,0.296552,-0.512513,0.296552,All
-0.477961,0.298851,-0.243464,0.298851,-0.511841,0.298851,All
-0.477077,0.301149,-0.240292,0.301149,-0.510679,0.301149,All
-0.476379,0.303448,-0.238436,0.303448,-0.509398,0.303448,All
-0.472743,0.305747,-0.237273,0.305747,-0.499736,0.305747,All
-0.471306,0.308046,-0.236101,0.308046,-0.494988,0.308046,All
-0.470442,0.310345,-0.215026,0.310345,-0.493797,0.310345,All
-0.469538,0.312644,-0.208684,0.312644,-0.493141,0.312644,All
-0.467746,0.314943,-0.208555,0.314943,-0.473531,0.314943,All
