CL_abscissa,CL_pdf,CL_cdf,Vc_abscissa,Vc_pdf,Vc_cdf,Q1_abscissa,Q1_pdf,Q1_cdf,Vp1_abscissa,Vp1_pdf,Vp1_cdf,split
0.83977,0.0246736,0.997414,15.0645,0.000519024,0.99937,0.114095,0.436853,0.97726,102.809,0.000821833,0.947391,All
0.848657,0.0226152,0.997624,15.2165,0.000457738,0.999444,0.115417,0.42273,0.977828,104.002,0.000800521,0.948358,All
0.857544,0.0207321,0.997816,15.3684,0.000403687,0.999509,0.116739,0.409171,0.978378,105.195,0.000779932,0.9493,All
0.866431,0.0190092,0.997993,15.5204,0.000356022,0.999567,0.118061,0.396149,0.978911,106.387,0.000760036,0.950219,All
0.875318,0.0174327,0.998155,15.6723,0.000313991,0.999618,0.119384,0.383639,0.979426,107.58,0.000740803,0.951114,All
0.884205,0.01599,0.998303,15.8243,0.000276931,0.999663,0.120706,0.371616,0.979925,108.772,0.000722207,0.951986,All
0.893092,0.0146694,0.998439,15.9762,0.000244255,0.999702,0.122028,0.360059,0.980409,109.965,0.00070422,0.952836,All
0.901979,0.0134605,0.998564,16.1282,0.000215446,0.999737,0.123351,0.348945,0.980878,111.158,0.000686819,0.953666,All
0.910866,0.0123536,0.998679,16.2801,0.000190047,0.999768,0.124673,0.338254,0.981332,112.35,0.000669979,0.954475,All
0.919753,0.01134,0.998784,16.4321,0.000167654,0.999795,0.125995,0.327968,0.981772,113.543,0.000653677,0.955264,All
0.92864,0.0104117,0.998881,16.5841,0.000147911,0.999819,0.127317,0.318067,0.9822,114.735,0.000637894,0.956034,All
0.937527,0.00956125,0.998969,16.736,0.000130505,0.99984,0.12864,0.308534,0.982614,115.928,0.000622607,0.956786,All
0.946414,0.00878209,0.999051,16.888,0.000115158,0.999859,0.129962,0.299353,0.983016,117.121,0.000607798,0.957519,All
0.955301,0.00806808,0.999126,17.0399,0.000101626,0.999875,0.131284,0.290509,0.983406,118.313,0.000593448,0.958236,All
0.964188,0.00741367,0.999194,17.1919,8.96947e-05,0.99989,0.132606,0.281986,0.983784,119.506,0.000579539,0.958935,All
