CL_abscissa,CL_pdf,CL_cdf,Vc_abscissa,Vc_pdf,Vc_cdf,Q1_abscissa,Q1_pdf,Q1_cdf,Vp1_abscissa,Vp1_pdf,Vp1_cdf,split
41.9693,0.00388701,0.904105,40.2927,0.00457683,0.920826,3.30089,0.0143141,0.965708,37.7308,0.00468251,0.918539,All
42.7701,0.00372449,0.907152,41.0363,0.00435013,0.924145,3.36433,0.0137437,0.966598,38.4203,0.00446326,0.921691,All
43.5708,0.00357044,0.910073,41.78,0.00413632,0.927299,3.42778,0.0132042,0.967452,39.1098,0.00425604,0.924696,All
44.3716,0.00342435,0.912873,42.5236,0.00393458,0.9303,3.49122,0.0126935,0.968274,39.7993,0.0040601,0.927563,All
45.1724,0.00328572,0.915559,43.2673,0.00374416,0.933154,3.55467,0.0122097,0.969064,40.4888,0.00387473,0.930297,All
45.9732,0.00315409,0.918137,44.0109,0.00356433,0.935871,3.61811,0.0117511,0.969824,41.1783,0.00369927,0.932908,All
46.7739,0.00302903,0.920612,44.7546,0.00339444,0.938458,3.68156,0.0113158,0.970555,41.8677,0.00353314,0.935401,All
47.5747,0.00291015,0.92299,45.4983,0.00323386,0.940922,3.745,0.0109024,0.97126,42.5572,0.00337575,0.937782,All
48.3755,0.00279708,0.925274,46.2419,0.00308202,0.94327,3.80845,0.0105096,0.971939,43.2467,0.00322657,0.940058,All
49.1762,0.00268949,0.927471,46.9856,0.00293839,0.945508,3.87189,0.010136,0.972594,43.9362,0.00308513,0.942233,All
49.977,0.00258704,0.929583,47.7292,0.00280247,0.947642,3.93533,0.00978036,0.973226,44.6257,0.00295096,0.944314,All
50.7778,0.00248946,0.931615,48.4729,0.00267378,0.949678,3.99878,0.00944169,0.973835,45.3152,0.00282362,0.946304,All
51.5786,0.00239645,0.933571,49.2165,0.00255189,0.95162,4.06222,0.00911893,0.974424,46.0047,0.00270273,0.948209,All
52.3793,0.00230776,0.935454,49.9602,0.00243641,0.953475,4.12567,0.00881112,0.974993,46.6941,0.0025879,0.950032,All
53.1801,0.00222316,0.937268,50.7038,0.00232694,0.955245,4.18911,0.00851739,0.975542,47.3836,0.0024788,0.951779,All
53.9809,0.0021424,0.939016,51.4475,0.00222314,0.956937,4.25256,0.00823693,0.976074,48.0731,0.00237508,0.953452,All
54.7816,0.0020653,0.9407,52.1911,0.00212467,0.958553,4.316,0.00796897,0.976588,48.7626,0.00227645,0.955055,All
55.5824,0.00199163,0.942324,52.9348,0.00203122,0.960098,4.37945,0.00771281,0.977085,49.4521,0.00218262,0.956592,All
56.3832,0.00192123,0.943891,53.6784,0.0019425,0.961575,4.44289,0.00746779,0.977567,50.1416,0.00209333,0.958066,All
57.184,0.00185392,0.945402,54.4221,0.00185825,0.962988,4.50634,0.0072333,0.978033,50.8311,0.00200831,0.95948,All
57.9847,0.00178954,0.946861,55.1657,0.00177821,0.96434,4.56978,0.00700876,0.978485,51.5205,0.00192734,0.960836,All
58.7855,0.00172792,0.948269,55.9094,0.00170214,0.965634,4.63323,0.00679365,0.978923,52.21,0.00185019,0.962138,All
59.5863,0.00166894,0.949629,56.653,0.00162982,0.966873,4.69667,0.00658746,0.979347,52.8995,0.00177666,0.963389,All
60.387,0.00161245,0.950943,57.3967,0.00156103,0.968059,4.76011,0.00638971,0.979759,53.589,0.00170655,0.964589,All
61.1878,0.00155833,0.952212,58.1404,0.00149559,0.969195,4.82356,0.00619999,0.980158,54.2785,0.00163969,0.965743,All
61.9886,0.00150646,0.953439,58.884,0.00143331,0.970284,4.887,0.00601786,0.980545,54.968,0.00157589,0.966851,All
62.7894,0.00145673,0.954625,59.6277,0.00137402,0.971328,4.95045,0.00584296,0.980922,55.6575,0.00151499,0.967916,All
63.5901,0.00140903,0.955772,60.3713,0.00131754,0.972329,5.01389,0.00567491,0.981287,56.3469,0.00145685,0.968941,All
