popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
115.773,123.039,115.773,30.3405,201.205,306.755,296.146,306.755,80.3911,533.118,All
117.251,124.681,117.251,30.7279,203.774,315.276,311.158,315.276,82.6242,547.927,All
120.418,128.199,120.418,31.558,209.278,323.796,326.169,323.796,84.8573,562.736,All
123.585,131.718,123.585,32.388,214.783,327.295,332.332,327.295,85.7741,568.815,All
126.753,135.237,126.753,33.218,220.287,332.317,341.181,332.317,87.0904,577.545,All
129.92,138.755,129.92,34.0481,225.792,340.838,356.192,340.838,89.3234,592.353,All
133.087,142.274,133.087,34.8781,231.296,349.359,371.204,349.359,91.5565,607.162,All
135.43,144.877,135.43,35.4922,235.368,357.88,386.215,357.88,93.7896,621.971,All
136.254,145.792,136.254,35.7082,236.801,366.401,401.227,366.401,96.0227,636.78,All
139.422,148.671,139.422,36.5382,242.305,374.922,416.238,374.922,98.2558,651.588,All
142.589,148.828,142.589,37.3683,247.81,383.443,431.25,383.443,100.489,666.397,All
145.756,148.984,145.756,38.1983,253.314,391.964,446.261,391.964,102.722,681.206,All
148.923,149.141,148.923,39.0283,258.819,400.485,461.272,400.485,104.955,696.015,All
152.091,149.298,152.091,39.8584,264.323,409.006,476.284,409.006,107.188,710.824,All
155.258,149.454,155.258,40.6884,269.828,417.527,491.295,417.527,109.421,725.632,All
158.425,148.509,158.425,41.5185,275.332,426.048,506.307,426.048,111.654,740.441,All
