CL_vs_Q1_abscissa,CL_vs_Q1_spline,CL_vs_Q1_regression,CL_vs_Vc_abscissa,CL_vs_Vc_spline,CL_vs_Vc_regression,CL_vs_Vp1_abscissa,CL_vs_Vp1_spline,CL_vs_Vp1_regression,Q1_vs_CL_abscissa,Q1_vs_CL_spline,Q1_vs_CL_regression,Q1_vs_Vc_abscissa,Q1_vs_Vc_spline,Q1_vs_Vc_regression,Q1_vs_Vp1_abscissa,Q1_vs_Vp1_spline,Q1_vs_Vp1_regression,Vc_vs_CL_abscissa,Vc_vs_CL_spline,Vc_vs_CL_regression,Vc_vs_Q1_abscissa,Vc_vs_Q1_spline,Vc_vs_Q1_regression,Vc_vs_Vp1_abscissa,Vc_vs_Vp1_spline,Vc_vs_Vp1_regression,Vp1_vs_CL_abscissa,Vp1_vs_CL_spline,Vp1_vs_CL_regression,Vp1_vs_Q1_abscissa,Vp1_vs_Q1_spline,Vp1_vs_Q1_regression,Vp1_vs_Vc_abscissa,Vp1_vs_Vc_spline,Vp1_vs_Vc_regression
1.34278,0.537569,0.611864,0.0106525,0.224022,0.0448573,0.636923,-1.56461,-0.705107,-0.153304,0.297344,-0.232872,0.0106525,0.649684,-0.0204531,0.636923,-1.59237,-0.397982,-0.153304,-0.107333,-0.123375,1.34278,0.113952,0.322944,0.636923,-0.944818,-0.436461,-0.153304,0.194139,0.0644123,1.34278,-0.247279,-0.0534947,0.0106525,0.0433519,0.00628666
1.42536,0.539999,0.648376,0.0397414,0.250558,0.0806861,0.662171,-1.56168,-0.733324,-0.107011,0.326879,-0.182401,0.0397414,0.631378,0.01664,0.662171,-1.49604,-0.410738,-0.107011,-0.0785695,-0.0951981,1.42536,0.101493,0.344048,0.662171,-0.937918,-0.452696,-0.107011,0.176527,0.0505815,1.42536,-0.249456,-0.0580181,0.0397414,0.0248575,-0.00383204
1.50793,0.542429,0.684889,0.0688303,0.276348,0.116515,0.687419,-1.54158,-0.761541,-0.0607193,0.356414,-0.131931,0.0688303,0.606373,0.0537332,0.687419,-1.3711,-0.423494,-0.0607193,-0.0498056,-0.0670207,1.50793,0.0890328,0.365152,0.687419,-0.920347,-0.468932,-0.0607193,0.158916,0.0367507,1.50793,-0.251634,-0.0625415,0.0688303,0.00550947,-0.0139507
1.59051,0.542827,0.721402,0.0979192,0.302137,0.152344,0.712667,-1.52147,-0.789759,-0.0144271,0.385949,-0.0814605,0.0979192,0.581368,0.0908263,0.712667,-1.24616,-0.43625,-0.0144271,-0.0210417,-0.0388433,1.59051,0.0767497,0.386256,0.712667,-0.902776,-0.485167,-0.0144271,0.141304,0.0229199,1.59051,-0.250862,-0.0670649,0.0979192,-0.0138386,-0.0240694
1.67308,0.531603,0.757915,0.127008,0.327109,0.188173,0.737915,-1.50136,-0.817976,0.0318651,0.403372,-0.0309901,0.127008,0.548734,0.127919,0.737915,-1.12122,-0.449006,0.0318651,0.00697815,-0.0106659,1.67308,0.0825893,0.407361,0.737915,-0.885205,-0.501402,0.0318651,0.122137,0.00908905,1.67308,-0.214582,-0.0715883,0.127008,-0.0341558,-0.0341881
1.75566,0.51901,0.794428,0.156097,0.350504,0.224002,0.763163,-1.48126,-0.846193,0.0781572,0.414386,0.0194803,0.156097,0.505583,0.165013,0.763163,-0.996277,-0.461763,0.0781572,0.0345874,0.0175114,1.75566,0.090763,0.428465,0.763163,-0.867635,-0.517637,0.0781572,0.102171,-0.00474176,1.75566,-0.1739,-0.0761117,0.156097,-0.0554439,-0.0443068
1.83823,0.506416,0.830941,0.185186,0.37261,0.25983,0.788411,-1.46115,-0.87441,0.124449,0.422985,0.0699508,0.185186,0.456758,0.202106,0.788411,-0.871337,-0.474519,0.124449,0.0620404,0.0456888,1.83823,0.0989366,0.449569,0.788411,-0.850064,-0.533873,0.124449,0.0819078,-0.0185726,1.83823,-0.133218,-0.0806351,0.185186,-0.0769035,-0.0544255
1.92081,0.493822,0.867453,0.214275,0.394715,0.295659,0.813658,-1.44105,-0.902627,0.170742,0.431294,0.120421,0.214275,0.407933,0.239199,0.813658,-0.746397,-0.487275,0.170742,0.0894741,0.0738662,1.92081,0.10711,0.470673,0.813658,-0.832493,-0.550108,0.170742,0.0616087,-0.0324034,1.92081,-0.0925365,-0.0851585,0.214275,-0.0983631,-0.0645442
2.00338,0.481229,0.903966,0.243364,0.416821,0.331488,0.838906,-1.42094,-0.930844,0.217034,0.429388,0.170892,0.243364,0.359108,0.276292,0.838906,-0.621458,-0.500031,0.217034,0.116232,0.102044,2.00338,0.115284,0.491778,0.838906,-0.814922,-0.566343,0.217034,0.04007,-0.0462342,2.00338,-0.0518548,-0.0896819,0.243364,-0.119823,-0.0746629
2.08596,0.468635,0.940479,0.272453,0.438926,0.367317,0.864154,-1.40084,-0.959061,0.263326,0.427482,0.221362,0.272453,0.310284,0.313385,0.864154,-0.496518,-0.512788,0.263326,0.14299,0.130221,2.08596,0.123458,0.512882,0.864154,-0.797351,-0.582578,0.263326,0.0185313,-0.060065,2.08596,-0.0111731,-0.0942053,0.272453,-0.141282,-0.0847816
