iteration,convergenceIndicator,phase,Kcp_pop,Ke_pop,Kpc_pop,Vc_pop,b,omega_Kcp,omega_Ke,omega_Kpc,omega_Vc
57,-904.042,2,0.0173455,0.834891,0.0308543,13.0325,0.901575,1.70388,0.516076,1.32165,1.15618
58,-908.462,2,0.0169129,0.823292,0.028723,13.1983,0.905209,1.73937,0.518387,1.3543,1.14085
59,-908.338,2,0.0173858,0.829656,0.027729,12.9589,0.898034,1.70392,0.521,1.3692,1.12338
60,-920.68,2,0.0177033,0.823475,0.0263154,13.3899,0.887419,1.67529,0.515389,1.37482,1.13051
61,-909.106,2,0.0180876,0.8221,0.0257038,13.1177,0.872505,1.68306,0.507304,1.39398,1.12114
62,-921.749,2,0.0183363,0.828017,0.0255288,13.1888,0.876596,1.68461,0.504553,1.42023,1.1202
63,-904.249,2,0.0183452,0.827002,0.0256909,13.2698,0.889937,1.68009,0.504281,1.4169,1.1192
64,-904.409,2,0.0182108,0.823223,0.0258942,13.3636,0.887119,1.68049,0.507564,1.40242,1.11643
65,-918.72,2,0.0181588,0.823667,0.0261625,13.5535,0.893316,1.67832,0.515087,1.38763,1.1167
66,-911.905,2,0.0181209,0.818762,0.0259998,13.7153,0.893015,1.66825,0.514284,1.36436,1.12506
67,-900.324,2,0.0180094,0.81782,0.0258771,13.7545,0.893128,1.67522,0.515658,1.34929,1.13999
68,-908.241,2,0.0181343,0.819243,0.0256908,13.7809,0.89842,1.67689,0.511004,1.34115,1.14975
69,-908.101,2,0.0181042,0.819161,0.0256072,13.7665,0.899153,1.69353,0.506912,1.33888,1.15888
70,-913.402,2,0.0181881,0.820055,0.0256496,13.7629,0.89834,1.69854,0.504828,1.33944,1.16313
71,-910.738,2,0.0182083,0.820136,0.0257028,13.75,0.898694,1.70013,0.504561,1.33903,1.16389
