Vc_abscissa,Vc_pdf,Vc_cdf,Ke_abscissa,Ke_pdf,Ke_cdf,Kpc_abscissa,Kpc_pdf,Kpc_cdf,Kcp_abscissa,Kcp_pdf,Kcp_cdf,split
81.9226,0.0012912,0.937415,2.42432,0.0324666,0.984146,0.234241,0.325901,0.950555,0.567628,0.053403,0.97847,All
83.0655,0.00125032,0.938867,2.4556,0.030341,0.985128,0.237518,0.315932,0.951607,0.57562,0.0517908,0.978891,All
84.2083,0.00121109,0.940273,2.48687,0.028361,0.986046,0.240795,0.306367,0.952626,0.583613,0.0502451,0.979298,All
85.3512,0.00117344,0.941636,2.51815,0.0265162,0.986903,0.244071,0.297183,0.953615,0.591605,0.0487626,0.979694,All
86.494,0.00113729,0.942956,2.54942,0.024797,0.987705,0.247348,0.288364,0.954574,0.599597,0.0473399,0.980078,All
87.6369,0.00110256,0.944236,2.5807,0.0231946,0.988456,0.250625,0.279889,0.955505,0.60759,0.0459738,0.980451,All
88.7797,0.00106919,0.945477,2.61197,0.0217008,0.989157,0.253902,0.271744,0.956409,0.615582,0.0446617,0.980813,All
89.9226,0.00103711,0.94668,2.64324,0.0203079,0.989814,0.257178,0.263911,0.957286,0.623574,0.0434006,0.981165,All
91.0654,0.00100626,0.947848,2.67452,0.0190088,0.990429,0.260455,0.256375,0.958138,0.631567,0.0421882,0.981507,All
92.2083,0.000976588,0.948981,2.70579,0.0177971,0.991004,0.263732,0.249124,0.958967,0.639559,0.041022,0.981839,All
93.3511,0.00094803,0.95008,2.73707,0.0166665,0.991543,0.267009,0.242142,0.959771,0.647551,0.0398998,0.982163,All
94.494,0.000920538,0.951148,2.76834,0.0156113,0.992047,0.270285,0.235418,0.960554,0.655544,0.0388195,0.982477,All
95.6368,0.000894064,0.952185,2.79962,0.0146265,0.99252,0.273562,0.22894,0.961314,0.663536,0.0377791,0.982783,All
96.7797,0.000868561,0.953192,2.83089,0.013707,0.992963,0.276839,0.222696,0.962054,0.671529,0.0367766,0.983081,All
97.9225,0.000843987,0.95417,2.86217,0.0128484,0.993378,0.280116,0.216676,0.962774,0.679521,0.0358104,0.983371,All
99.0653,0.000820298,0.955121,2.89344,0.0120464,0.993767,0.283392,0.21087,0.963475,0.687513,0.0348788,0.983654,All
100.208,0.000797457,0.956046,2.92472,0.0112971,0.994132,0.286669,0.205269,0.964156,0.695506,0.0339802,0.983929,All
101.351,0.000775426,0.956944,2.95599,0.0105969,0.994474,0.289946,0.199863,0.96482,0.703498,0.0331132,0.984197,All
102.494,0.000754171,0.957818,2.98727,0.00994251,0.994795,0.293223,0.194644,0.965466,0.71149,0.0322762,0.984458,All
103.637,0.000733657,0.958668,3.01854,0.0093307,0.995096,0.296499,0.189604,0.966096,0.719483,0.031468,0.984713,All
104.78,0.000713853,0.959495,3.04981,0.00875859,0.995379,0.299776,0.184735,0.966709,0.727475,0.0306874,0.984961,All
105.922,0.00069473,0.9603,3.08109,0.00822349,0.995645,0.303053,0.18003,0.967307,0.735467,0.0299331,0.985204,All
107.065,0.000676258,0.961084,3.11236,0.00772289,0.995894,0.30633,0.175482,0.967889,0.74346,0.029204,0.98544,All
108.208,0.00065841,0.961846,3.14364,0.00725446,0.996128,0.309606,0.171085,0.968457,0.751452,0.028499,0.985671,All
109.351,0.000641161,0.962589,3.17491,0.00681603,0.996348,0.312883,0.166832,0.96901,0.759444,0.0278172,0.985896,All
110.494,0.000624486,0.963312,3.20619,0.00640557,0.996555,0.31616,0.162718,0.96955,0.767437,0.0271575,0.986115,All
111.637,0.000608362,0.964016,3.23746,0.00602123,0.996749,0.319436,0.158737,0.970077,0.775429,0.0265191,0.98633,All
112.78,0.000592767,0.964703,3.26874,0.00566124,0.996932,0.322713,0.154883,0.970591,0.783421,0.025901,0.986539,All
113.922,0.000577679,0.965372,3.30001,0.005324,0.997103,0.32599,0.151151,0.971092,0.791414,0.0253025,0.986744,All
