rep,id,eta_CL,eta_Vc,eta_Q1,eta_Vp1
1,1,0.893836738507263,0.529490227481189,0.740678608658162,-0.0857544524416713
2,1,0.411154076988816,0.157494285121051,-0.175514441925567,-0.240441997456369
3,1,0.829108360740175,0.697957829296789,0.495484337171316,-0.315626555144381
1,2,0.110601392724763,0.706666175956339,0.20206914515985,1.13981362646708
2,2,0.16374470934303,0.768354730071636,-0.142427104685811,-0.121800199166794
3,2,0.322661361814084,0.952340957877955,-0.0573516022187488,0.0731705227418864
1,3,0.0822880317287207,-0.207691268121386,0.959639363186629,-1.09496067434107
2,3,0.938735838454946,0.753371861642304,1.78308218696356,-0.121301482097808
3,3,0.331927013825943,-0.205860132054463,0.944406845334086,-1.23359266533154
1,4,0.790304179867031,0.717308742439691,0.38248380258407,0.749512446377599
2,4,-0.190478881789674,-0.433096341804184,-0.738622060254854,0.400362966928148
3,4,0.486446336837296,0.351559496364086,-0.0074872069913885,0.229817378692609
1,5,1.61825670854541,1.73796001213271,2.06733264813726,-0.637540837731312
2,5,1.15422743487215,0.931617237634437,1.75838454305811,-0.968466672371407
3,5,0.778854884181539,1.0251342180197,-0.0259436188417601,0.316313295320055
1,6,0.881703577846634,0.105022450271646,0.700010728747229,-0.00675508682570358
2,6,0.907121522459584,0.182647887720183,0.476360345267508,-0.807181050740265
3,6,0.596241104304659,-0.184192022140854,0.112358250503444,-1.00396969308241
1,7,0.135245241113225,-0.544735657918059,0.581705206475767,-0.209613180691758
2,7,0.557682863750496,1.0694360016747,0.602267369458867,0.541599020828517
3,7,0.112965192989767,-0.32810277720124,0.243620171874146,-0.439847414619706
1,8,0.206840631924325,-0.44263930128433,1.50423696434876,-0.71459964869264
2,8,0.196771893701796,0.236165487852569,0.637268877268001,-1.41174411281715
3,8,0.206754204478041,-0.527214699011584,1.05614220784223,-1.11062526183538
1,9,0.880793780867313,0.677804898261833,0.0300274637441305,-1.59117545209071
2,9,0.851012109289766,0.400575151610798,0.23159882407886,-1.56706367394696
3,9,1.31199170944356,1.02939228451936,1.44471230024971,-0.468742066887503
1,10,1.15134162295015,0.59293435134397,1.28622912465471,1.01672131522825
2,10,0.487528508924891,0.00734166168736294,0.218848158391865,0.28715425711971
3,10,0.315249532082657,0.172600352447474,-0.208934239258609,-0.0533686216300198
1,11,0.417732760932046,0.430360084139154,-0.970897511563762,-0.971648290533313
2,11,1.38291848447786,1.60130793763606,-0.172404581929518,-1.62403331736006
3,11,0.703675411888482,0.807985853113157,0.205723389803822,1.02370844553052
1,12,-0.960038042352051,-1.09897475601829,2.54596891284158,0.822335772602313
2,12,-0.469673162069548,0.324164509916562,3.83560063053978,1.96178207535891
3,12,-0.584331879969656,0.06379674809041,3.46316827566706,1.35139915245594
1,13,-2.09591056367189,-1.28002546219276,-3.04295904559149,1.14976456757634
2,13,-1.92019234838015,-1.21527690670548,-3.09518166253903,0.901350345520813
3,13,-1.73230371827772,-0.902976148259634,-2.2554804530948,1.84211164701246
1,14,-0.911134204504497,-0.417377227495904,-1.23057254688595,0.0554787217585382
2,14,-1.45326772769427,-1.02394239609693,-1.54330307684296,0.510086037854605
3,14,-1.15093806623784,-0.705330258488439,-1.31667172255888,0.596342382615268
1,15,-3.5040880655884,-2.07822875989169,-4.65994694255913,0.525342513672894
2,15,-3.02180427890536,-1.52424284608311,-4.67477602947909,-0.560333645280167
3,15,-3.14236293700161,-1.60855401002625,-3.40360876970252,2.37722585848328
1,16,0.68921604965077,0.548949452507943,0.614649249491199,-0.659767181347001
2,16,-0.4618271363301,-0.247030919540829,-1.34186090044202,-0.522437070244036
3,16,0.207920264099158,0.482017670066006,-0.345711262916187,0.964844495364404
1,17,0.0546488864699732,0.0268779252348383,0.203292087458004,-0.38984776378304
2,17,0.252972852569344,-0.0433109422203048,0.648588486552391,0.255450914428513
3,17,0.3472482117436,0.140923833618689,0.898368892386391,0.263409772061708
1,18,-0.102462774828453,-1.24362817788883,-0.765665874069068,-0.519317979027508
2,18,0.541767302128099,-0.856709341013884,0.737275458256936,0.437574055314302
3,18,-0.0524345472346059,-1.29095154549765,-0.239532148558568,0.394426804275762
1,19,-0.134739806056858,0.793373487880757,-0.0904119566369896,0.75727349564956
2,19,0.0409937349356442,0.846988379716039,0.0491629083689815,-0.290235979321738
3,19,0.0499016434305726,0.855852993993591,-0.11975685334511,-0.620879098766157
1,20,-0.0647804830349474,-0.170618538796881,0.76115078175063,-0.0502616971153809
2,20,-0.709453196544273,-1.13991270082213,-0.137081758111394,-0.795711947408673
3,20,0.146440722530687,0.289232926631782,1.73839362337021,1.00261046083332
1,21,1.09896975152201,1.1041612574375,0.0237875346979235,-0.187770524683027
2,21,0.664466895377153,0.530407501260589,-0.471784840872013,-0.443126426049903
3,21,0.000618829933813014,-0.0611114571773088,-1.31804723754174,-0.268249322358685
