rep,id,CL,Vc,Q1,Vp1
1,1,26.285952926254,22.1391547961118,0.370159609616729,10.5324075083239
2,1,16.2217352601268,15.2617822112904,0.148078307620433,9.02293246540176
3,1,24.638402660197,26.2014657260167,0.289669326363508,8.36942203863099
1,2,12.0107170827112,26.4306335607722,0.216010026689591,35.8744381341456
2,2,12.6662713082479,28.112441988026,0.153059781926172,10.1595198945186
3,2,14.847912909187,33.7911347142275,0.16665137892341,12.3466146546662
1,3,11.6754223728908,10.5927124030095,0.460768175998173,3.83914893829277
2,3,27.493064893469,27.6943766979104,1.04978206899335,10.1645878841441
3,3,14.9861278401949,10.6121268705782,0.453802702066892,3.34216473197284
1,4,23.700641815292,26.7134254823742,0.258718211749435,24.2817206852724
2,4,8.88815122700138,8.45502705174676,0.0843212257062048,17.1255988461003
3,4,17.4902622912444,18.5304814103424,0.175172022060504,14.4403845560676
1,5,54.2419534147183,74.1297944459971,1.39491439871368,6.06582493004061
2,5,34.1043650556245,33.0980630082013,1.02417247533881,4.35682993312828
3,5,23.4308336632097,36.342641239874,0.171968627593439,15.7450287581294
1,6,25.968948259498,14.4816158693434,0.355407994575808,11.3982096964695
2,6,26.6374859821853,15.650539846367,0.284182326410371,5.11936462660092
3,6,19.5199896942449,10.8445809272226,0.197475382659354,4.20486291594101
1,7,12.3103846890575,7.56189534460855,0.315753197474772,9.30543097047922
2,7,18.7816590739104,37.9888815195099,0.322312976685666,19.7234918806188
3,7,12.0391416006404,9.39102782203239,0.225174544136039,7.39174599133113
1,8,13.2240690311394,8.37472484097325,0.794324958899305,5.61595546702591
2,8,13.0915874223884,16.5109370279824,0.333794174355075,2.79677585372965
3,8,13.2229261580121,7.69555450124085,0.507449850430944,3.77947882782417
1,9,25.9453325332025,25.6787145706374,0.181868362979378,2.33739236399887
2,9,25.1840298626044,19.4613933566809,0.222483847927064,2.39443599820882
3,9,39.9324652380936,36.497720557757,0.748422742093034,7.18122024255338
1,10,34.0060881448986,23.5892682866071,0.638731900919367,31.7195338521951
2,10,17.5092000099878,13.1339329847916,0.219665039791402,15.2925478764455
3,10,14.7382695377769,15.4940778402593,0.143211340102,10.8790918045164
1,11,16.3288047313641,20.0497685047009,0.0668437742950152,4.34299019194528
2,11,42.8676058883588,64.6614670864351,0.148539527218059,2.26183870404677
3,11,21.7339023269542,29.248941259306,0.216800824176413,31.9419384484797
1,12,4.11714477101062,4.34437874813573,2.25121329965076,26.1159740146454
2,12,6.72293480849394,18.029729486182,8.17516608564511,81.6133997476988
3,12,5.99464199092235,13.8967398816199,5.63314937831685,44.3277343260248
1,13,1.32218726612786,3.62491942855392,0.00841736333173086,36.2332046270143
2,13,1.57618221016749,3.86739292385071,0.00798906729376529,28.2632318284981
3,13,1.90197768267246,5.2850462760047,0.0185000831785381,72.4084519874736
1,14,4.32349344903144,8.588982661975,0.0515567495718266,12.1301017047348
2,14,2.51413855251751,4.68288853350838,0.0377110292403514,19.1116371345113
3,14,3.40164753197078,6.43999178927484,0.047303484400031,20.8333229221923
1,15,0.323391984621314,1.63171035747705,0.00167081033410731,19.4054489316422
2,15,0.523820437359015,2.83946222703046,0.00164621654483871,6.55270368257283
3,15,0.464327578231391,2.60987809571267,0.00586878079710471,123.647805261647
1,16,21.421905037121,22.5741845346504,0.326328626640385,5.93249107188669
2,16,6.77589060264452,10.18408903758,0.0461268302072815,6.80579404948158
3,16,13.2383538713467,21.1127092592413,0.1249038721172,30.1159785905616
1,17,11.3571424322311,13.3930437479901,0.21627435608491,7.77072619918662
2,17,13.8484152165809,12.4852329434892,0.337594060026424,14.8153276984917
3,17,15.2175012033853,15.010971352843,0.433384174510373,14.9337112564742
1,18,9.7059118981634,3.75928712780488,0.0820714169996532,6.82705508223617
2,18,18.4851045969454,5.53531338104415,0.368902041852568,17.7748660720844
3,18,10.2038326680904,3.5855288411911,0.138895733472463,17.0242396458213
1,19,9.39763575922337,28.824652527448,0.161231903765667,24.4709055026529
2,19,11.2031129725228,30.412262639057,0.185382005308472,8.58464726722078
3,19,11.3033550886823,30.6830540742095,0.156569316360135,6.16773879502942
1,20,10.0786312596131,10.9927832009726,0.377815682043852,10.9129448837899
2,20,5.28961123264966,4.17012004357508,0.153880130076462,5.17841714087542
3,20,12.4489797436563,17.4107955942123,1.00390161726302,31.2750872637651
1,21,32.2709582454004,39.3312269043413,0.180737050623847,9.51092236716745
2,21,20.8982378934574,22.1594717789977,0.11010900618561,7.3675480660544
3,21,10.7597979712926,12.2649557082067,0.0472384624780631,8.77548521838289
