time_pwRes,time_pwRes_spline,time_iwRes,time_iwRes_spline,time_npde,time_npde_spline,prediction_pwRes,prediction_pwRes_spline,prediction_iwRes,prediction_iwRes_spline,prediction_npde,prediction_npde_spline,split
9.21034,0.736661,9.21034,0.19141,9.21034,0.24746,4.36512,0.247093,10.6459,0.0882807,4.36512,0.140138,All
9.87063,0.877713,9.87063,0.185384,9.87063,0.228179,4.73069,0.247861,11.5758,0.0973343,4.73069,0.14454,All
11.7111,0.258183,11.7111,0.13557,11.7111,0.191046,5.81989,0.248327,15.3932,0.127262,5.81989,0.157475,All
13.1605,0.0986576,13.1605,0.115551,13.1605,0.18914,5.94057,0.248269,15.9688,0.128513,5.94057,0.158885,All
14.8909,1.27137,14.8909,0.141236,14.8909,0.208921,7.27465,0.246887,20.4695,0.123238,7.27465,0.173843,All
16.4504,2.15181,16.4504,0.143208,16.4504,0.217798,7.45987,0.246652,21.2916,0.119412,7.45987,0.175853,All
18.9341,1.35567,18.9341,0.0372292,18.9341,0.180493,8.72942,0.244599,26.6145,0.077205,8.72942,0.188895,All
19.7403,0.952734,19.7403,0.00322325,19.7403,0.164262,9.36775,0.243329,27.2199,0.07197,9.36775,0.195051,All
23.0301,0.102563,23.0301,-0.0150925,23.0301,0.144434,10.1842,0.24165,31.9373,0.0304379,10.1842,0.202833,All
24.0751,0.194516,24.0751,0.0238716,24.0751,0.162449,11.6389,0.237611,36.1963,-0.004912,11.6389,0.214912,All
26.32,0.449086,26.32,0.0752581,26.32,0.183525,11.7636,0.237178,37.2602,-0.0137422,11.7636,0.215798,All
29.6099,0.279841,29.6099,-0.00134587,29.6099,0.142665,13.0937,0.232562,42.5831,-0.0579224,13.0937,0.22526,All
30.612,0.263463,30.612,-0.00833264,30.612,0.148021,14.5485,0.227513,47.9059,-0.094568,14.5485,0.235608,All
32.8998,0.300848,32.8998,0.0163697,32.8998,0.180666,14.7721,0.226737,48.133,-0.0958948,14.7721,0.237199,All
36.1897,0.285748,36.1897,0.0822368,36.1897,0.191992,16.0032,0.222465,53.2288,-0.125665,16.0032,0.245956,All
38.9237,0.228074,38.9237,0.09625,38.9237,0.167242,17.458,0.216351,58.5516,-0.151332,17.458,0.254429,All
39.4795,0.21907,39.4795,0.0907933,39.4795,0.160621,18.5501,0.211004,63.8745,-0.173293,18.5501,0.259459,All
42.7694,0.179366,42.7694,0.0403448,42.7694,0.124212,18.9128,0.209229,64.0062,-0.173836,18.9128,0.261129,All
46.0593,0.149841,46.0593,0.0111308,46.0593,0.108971,20.3675,0.202107,69.1974,-0.190716,20.3675,0.267829,All
49.3492,0.122822,49.3492,0.00504542,49.3492,0.111079,21.8223,0.194318,74.5202,-0.202125,21.8223,0.273222,All
49.4922,0.121648,49.4922,0.00497205,49.4922,0.111379,23.2771,0.183962,79.8431,-0.213534,23.2771,0.273595,All
52.639,0.0951833,52.639,0.00223174,52.639,0.118673,23.2943,0.183839,85.1139,-0.224155,23.2943,0.273599,All
55.9289,0.066545,55.9289,-0.00119303,55.9289,0.126749,24.7318,0.173605,85.166,-0.224204,24.7318,0.273967,All
59.2188,0.0386668,59.2188,0.0014922,59.2188,0.13402,26.1866,0.163249,90.4888,-0.227707,26.1866,0.274339,All
62.5087,0.0123913,62.5087,0.0123563,62.5087,0.139971,27.6414,0.152893,95.8117,-0.229218,27.6414,0.274711,All
