Vc_abscissa,Vc_pdf,Vc_cdf,Ke_abscissa,Ke_pdf,Ke_cdf,Kpc_abscissa,Kpc_pdf,Kpc_cdf,Kcp_abscissa,Kcp_pdf,Kcp_cdf,split
12.2981,0.0250513,0.923662,0.0780499,4.92149,0.930686,0.0092732,26.7535,0.913126,0.0117934,5.9434,0.93634,All
12.5245,0.0232407,0.929126,0.0793973,4.49159,0.937024,0.00945317,25.1782,0.917798,0.0120441,5.71535,0.937801,All
12.7509,0.0215577,0.934194,0.0807447,4.09583,0.942806,0.00963314,23.7018,0.922195,0.0122948,5.49975,0.939206,All
12.9772,0.0199943,0.938895,0.0820922,3.73206,0.948076,0.00981311,22.318,0.926335,0.0125455,5.2957,0.940559,All
13.2036,0.0185426,0.943255,0.0834396,3.39821,0.952877,0.00999308,21.0207,0.930233,0.0127962,5.1024,0.941863,All
13.43,0.0171952,0.947298,0.0847871,3.09221,0.957246,0.0101731,19.8043,0.933906,0.0130469,4.91911,0.943119,All
13.6564,0.0159451,0.951047,0.0861345,2.81209,0.961222,0.010353,18.6636,0.937366,0.0132976,4.74516,0.94433,All
13.8827,0.0147857,0.954524,0.0874819,2.55596,0.964836,0.010533,17.5936,0.940628,0.0135483,4.57993,0.945499,All
14.1091,0.0137106,0.957748,0.0888294,2.322,0.968119,0.010713,16.5897,0.943703,0.013799,4.42286,0.946627,All
14.3355,0.012714,0.960737,0.0901768,2.10851,0.971102,0.0108929,15.6477,0.946603,0.0140497,4.27341,0.947717,All
14.5619,0.0117904,0.96351,0.0915243,1.91385,0.97381,0.0110729,14.7634,0.949339,0.0143004,4.13112,0.94877,All
14.7882,0.0109344,0.966081,0.0928717,1.73652,0.976268,0.0112529,13.9332,0.95192,0.0145511,3.99553,0.949789,All
15.0146,0.0101414,0.968465,0.0942191,1.5751,0.978497,0.0114328,13.1535,0.954357,0.0148018,3.86624,0.950774,All
15.241,0.00940666,0.970677,0.0955666,1.42824,0.980519,0.0116128,12.4212,0.956657,0.0150525,3.74286,0.951728,All
15.4674,0.00872603,0.972728,0.096914,1.29473,0.982352,0.0117928,11.733,0.95883,0.0153032,3.62504,0.952651,All
15.6937,0.00809554,0.974631,0.0982615,1.17342,0.984013,0.0119728,11.0863,0.960883,0.0155539,3.51246,0.953546,All
15.9201,0.00751152,0.976397,0.0996089,1.06325,0.985519,0.0121527,10.4783,0.962823,0.0158046,3.40482,0.954413,All
16.1465,0.00697055,0.978035,0.100956,0.963239,0.986883,0.0123327,9.90651,0.964657,0.0160553,3.30184,0.955254,All
16.3729,0.00646945,0.979556,0.102304,0.872499,0.988119,0.0125127,9.36869,0.966391,0.016306,3.20325,0.956069,All
16.5992,0.00600527,0.980967,0.103651,0.790198,0.989238,0.0126926,8.86266,0.968031,0.0165567,3.10881,0.95686,All
16.8256,0.00557526,0.982277,0.104999,0.715577,0.990252,0.0128726,8.38639,0.969583,0.0168074,3.01829,0.957628,All
17.052,0.0051769,0.983494,0.106346,0.647942,0.99117,0.0130526,7.93801,0.971051,0.0170581,2.93149,0.958374,All
17.2784,0.00480781,0.984623,0.107694,0.586655,0.992001,0.0132325,7.51577,0.972441,0.0173088,2.84821,0.959098,All
17.5047,0.00446583,0.985672,0.109041,0.531134,0.992754,0.0134125,7.11803,0.973758,0.0175595,2.76825,0.959802,All
17.7311,0.00414893,0.986647,0.110388,0.480849,0.993435,0.0135925,6.74326,0.975005,0.0178102,2.69146,0.960486,All
17.9575,0.00385524,0.987552,0.111736,0.435314,0.994051,0.0137725,6.39002,0.976186,0.0180609,2.61766,0.961152,All
18.1839,0.00358302,0.988394,0.113083,0.394088,0.99461,0.0139524,6.05699,0.977306,0.0183116,2.54671,0.961799,All
18.4102,0.00333068,0.989176,0.114431,0.356768,0.995115,0.0141324,5.74293,0.978368,0.0185623,2.47846,0.962429,All
18.6366,0.00309672,0.989903,0.115778,0.322988,0.995573,0.0143124,5.44665,0.979374,0.0188131,2.41278,0.963042,All
18.863,0.00287979,0.99058,0.117126,0.292416,0.995987,0.0144923,5.16709,0.980329,0.0190638,2.34955,0.963639,All
19.0894,0.0026786,0.991208,0.118473,0.264749,0.996362,0.0146723,4.90321,0.981235,0.0193145,2.28864,0.96422,All
19.3157,0.00249199,0.991793,0.119821,0.239714,0.996702,0.0148523,4.65407,0.982095,0.0195652,2.22995,0.964787,All
19.5421,0.00231887,0.992338,0.121168,0.21706,0.997009,0.0150322,4.41878,0.982911,0.0198159,2.17337,0.965339,All
19.7685,0.00215824,0.992844,0.122515,0.196562,0.997288,0.0152122,4.1965,0.983686,0.0200666,2.11881,0.965877,All
19.9949,0.00200917,0.993316,0.123863,0.178014,0.99754,0.0153922,3.98646,0.984422,0.0203173,2.06616,0.966401,All
20.2212,0.00187081,0.993755,0.12521,0.161233,0.997768,0.0155722,3.78793,0.985122,0.020568,2.01535,0.966913,All
20.4476,0.00174235,0.994163,0.126558,0.146048,0.997975,0.0157521,3.60022,0.985786,0.0208187,1.96629,0.967412,All
20.674,0.00162308,0.994544,0.127905,0.132308,0.998162,0.0159321,3.42269,0.986418,0.0210694,1.91891,0.967899,All
20.9004,0.00151231,0.994899,0.129253,0.119874,0.998332,0.0161121,3.25476,0.987019,0.0213201,1.87312,0.968374,All
21.1267,0.00140941,0.995229,0.1306,0.108623,0.998486,0.016292,3.09584,0.98759,0.0215708,1.82886,0.968838,All
21.3531,0.00131381,0.995538,0.131947,0.0984407,0.998625,0.016472,2.94543,0.988134,0.0218215,1.78607,0.969291,All
21.5795,0.00122497,0.995825,0.133295,0.0892252,0.998752,0.016652,2.80302,0.988651,0.0220722,1.74467,0.969734,All
21.8059,0.00114239,0.996093,0.134642,0.080884,0.998866,0.0168319,2.66816,0.989143,0.0223229,1.70462,0.970166,All
22.0322,0.00106562,0.996342,0.13599,0.0733335,0.99897,0.0170119,2.5404,0.989612,0.0225736,1.66586,0.970589,All
22.2586,0.000994238,0.996576,0.137337,0.0664981,0.999064,0.0171919,2.41935,0.990058,0.0228243,1.62832,0.971002,All
22.485,0.000927847,0.996793,0.138685,0.0603095,0.99915,0.0173719,2.30463,0.990483,0.023075,1.59197,0.971405,All
22.7114,0.000866085,0.996996,0.140032,0.0547057,0.999227,0.0175518,2.19586,0.990888,0.0233257,1.55675,0.9718,All
22.9377,0.000808619,0.997185,0.14138,0.049631,0.999297,0.0177318,2.09272,0.991274,0.0235764,1.52262,0.972186,All
23.1641,0.000755138,0.997362,0.142727,0.0450348,0.999361,0.0179118,1.99489,0.991641,0.0238271,1.48954,0.972563,All
23.3905,0.000705354,0.997528,0.144074,0.0408714,0.999419,0.0180917,1.90208,0.991992,0.0240778,1.45745,0.972933,All
23.6169,0.000659001,0.997682,0.145422,0.0370996,0.999471,0.0182717,1.814,0.992326,0.0243285,1.42633,0.973294,All
23.8432,0.000615835,0.997826,0.146769,0.033682,0.999519,0.0184517,1.73039,0.992645,0.0245792,1.39614,0.973648,All
24.0696,0.000575626,0.997961,0.148117,0.030585,0.999562,0.0186316,1.65101,0.992949,0.0248299,1.36684,0.973994,All
