CL_pop,1,0.44925,0.13142,0.02988,0,0,0,0,0
Vc_pop,0.44925,1,0.23909,0.15645,0,0,0,0,0
Q1_pop,0.13142,0.23909,1,0.62189,0,0,0,0,0
Vp1_pop,0.02988,0.15645,0.62189,1,0,0,0,0,0
omega_CL,0,0,0,0,1,-0.18825,0.0009397,-0.0093535,-0.011349
omega_Vc,0,0,0,0,-0.18825,1,-0.015292,0.001775,-0.17956
omega_Q1,0,0,0,0,0.0009397,-0.015292,1,-0.35923,-0.017253
omega_Vp1,0,0,0,0,-0.0093535,0.001775,-0.35923,1,-0.053775
b,0,0,0,0,-0.011349,-0.17956,-0.017253,-0.053775,1
