parameter,value,se_lin,rse_lin
CL_pop,10.7531415460362,3.03248392999,28.2009114918404
Vc_pop,13.0378611870333,3.53763671426224,27.1335663381704
Q1_pop,0.176488493445731,0.0890335743952348,50.4472403027295
Vp1_pop,11.475466236168,5.35319976244708,46.6490829416155
omega_CL,1.04323571767665,0.184851597956245,17.7190633740878
omega_Vc,0.799852602785288,0.188700218071843,23.5918739796235
omega_Q1,1.60815572038245,0.298229394731271,18.5448082515508
omega_Vp1,0.853047660600688,0.360984659532959,42.3170563856615
b,0.900014654941126,0.0381917632734091,4.2434601552024
