popPred_spline_abscissa,popPred_spline,popPred_ci_abscissa,popPred_piLower,popPred_piUpper,indivPred_spline_abscissa,indivPred_spline,indivPred_ci_abscissa,indivPred_piLower,indivPred_piUpper,split
26.6422,44.7114,26.6422,-12.7987,66.0831,171.978,60.2487,171.978,-82.6168,426.572,All
27.6176,45.9333,27.6176,-13.2673,68.5025,182.726,62.5834,182.726,-87.7804,453.233,All
29.1518,47.8551,29.1518,-14.0043,72.3079,193.475,64.6403,193.475,-92.9439,479.894,All
30.686,49.7769,30.686,-14.7413,76.1133,204.224,66.4343,204.224,-98.1075,506.555,All
32.2202,51.6987,32.2202,-15.4783,79.9187,214.972,68.2282,214.972,-103.271,533.215,All
32.9176,52.5724,32.9176,-15.8134,81.6487,218.457,68.7554,218.457,-104.945,541.86,All
33.7544,53.6206,33.7544,-16.2154,83.7242,225.721,69.7643,225.721,-108.435,559.876,All
35.2886,55.5424,35.2886,-16.9524,87.5296,236.469,71.2572,236.469,-113.598,586.537,All
36.8228,57.4642,36.8228,-17.6894,91.335,247.218,72.7502,247.218,-118.762,613.198,All
38.357,59.386,38.357,-18.4264,95.1404,257.967,74.2431,257.967,-123.925,639.858,All
39.8912,61.3078,39.8912,-19.1634,98.9459,268.715,75.72,268.715,-129.089,666.519,All
40.6712,62.285,40.6712,-19.5382,100.881,279.464,77.0991,279.464,-134.252,693.18,All
41.4254,63.2297,41.4254,-19.9005,102.751,290.212,78.4781,290.212,-139.416,719.841,All
42.9596,65.1515,42.9596,-20.6375,106.557,294.907,79.0805,294.907,-141.671,731.485,All
44.4938,67.0053,44.4938,-21.3745,110.362,300.961,79.8572,300.961,-144.579,746.501,All
46.028,68.8143,46.028,-22.1115,114.168,311.71,81.2363,311.71,-149.743,773.162,All
47.5622,70.6233,47.5622,-22.8485,117.973,322.458,82.6153,322.458,-154.906,799.823,All
49.0964,72.5055,49.0964,-23.5855,121.778,333.207,83.9944,333.207,-160.07,826.484,All
50.2512,74.0382,50.2512,-24.1403,124.643,343.955,85.3734,343.955,-165.234,853.144,All
50.6306,74.5418,50.6306,-24.3226,125.584,354.704,86.7525,354.704,-170.397,879.805,All
52.1648,76.5781,52.1648,-25.0596,129.389,365.453,88.1315,365.453,-175.561,906.466,All
53.699,78.6145,53.699,-25.7966,133.195,376.201,89.7825,376.201,-180.724,933.127,All
55.2332,80.6508,55.2332,-26.5336,137,386.95,91.4345,386.95,-185.888,959.787,All
56.7674,82.6871,56.7674,-27.2706,140.806,397.698,93.8552,397.698,-191.051,986.448,All
58.3016,84.7234,58.3016,-28.0077,144.611,398.111,93.9635,398.111,-191.249,987.47,All
59.8358,86.7597,59.8358,-28.7447,148.416,408.447,96.6813,408.447,-196.215,1013.11,All
61.37,88.7961,61.37,-29.4817,152.222,419.196,99.5074,419.196,-201.378,1039.77,All
62.0876,89.7485,62.0876,-29.8264,154.002,429.944,102.334,429.944,-206.542,1066.43,All
62.9042,90.8324,62.9042,-30.2187,156.027,440.693,105.16,440.693,-211.705,1093.09,All
64.4384,93.3479,64.4384,-30.9557,159.833,451.441,107.986,451.441,-216.869,1119.75,All
65.9726,96.0696,65.9726,-31.6928,163.638,462.19,110.812,462.19,-222.033,1146.41,All
67.5068,98.7914,67.5068,-32.4298,167.443,472.939,113.638,472.939,-227.196,1173.07,All
69.0411,101.513,69.0411,-33.1668,171.249,483.687,116.464,483.687,-232.36,1199.73,All
70.5753,104.235,70.5753,-33.9038,175.054,494.436,119.29,494.436,-237.523,1226.39,All
72.1095,106.957,72.1095,-34.6408,178.86,505.184,122.116,505.184,-242.687,1253.06,All
73.6437,109.678,73.6437,-35.3779,182.665,515.933,124.943,515.933,-247.85,1279.72,All
75.1779,112.4,75.1779,-36.1149,186.471,526.682,127.769,526.682,-253.014,1306.38,All
76.7121,115.122,76.7121,-36.8519,190.276,537.43,130.595,537.43,-258.177,1333.04,All
