Kcp_vs_Ke_abscissa,Kcp_vs_Ke_spline,Kcp_vs_Ke_regression,Kcp_vs_Kpc_abscissa,Kcp_vs_Kpc_spline,Kcp_vs_Kpc_regression,Kcp_vs_Vc_abscissa,Kcp_vs_Vc_spline,Kcp_vs_Vc_regression,Ke_vs_Kcp_abscissa,Ke_vs_Kcp_spline,Ke_vs_Kcp_regression,Ke_vs_Kpc_abscissa,Ke_vs_Kpc_spline,Ke_vs_Kpc_regression,Ke_vs_Vc_abscissa,Ke_vs_Vc_spline,Ke_vs_Vc_regression,Kpc_vs_Kcp_abscissa,Kpc_vs_Kcp_spline,Kpc_vs_Kcp_regression,Kpc_vs_Ke_abscissa,Kpc_vs_Ke_spline,Kpc_vs_Ke_regression,Kpc_vs_Vc_abscissa,Kpc_vs_Vc_spline,Kpc_vs_Vc_regression,Vc_vs_Kcp_abscissa,Vc_vs_Kcp_spline,Vc_vs_Kcp_regression,Vc_vs_Ke_abscissa,Vc_vs_Ke_spline,Vc_vs_Ke_regression,Vc_vs_Kpc_abscissa,Vc_vs_Kpc_spline,Vc_vs_Kpc_regression
-0.321666,0.598459,0.52904,0.00304446,-0.151255,-0.262611,-0.60152,-0.150536,-0.791449,-2.83227,0.187029,0.182504,0.00304446,-0.0166899,0.0572207,-0.60152,-0.16027,-0.0560484,-2.83227,-0.130444,-0.100523,-0.321666,0.152134,0.139135,-0.60152,0.109203,0.0364864,-2.83227,-0.112622,-0.151762,-0.321666,-0.00479934,-0.0834415,0.00304446,0.0260263,-0.00845171
-0.30665,0.574315,0.506678,0.020182,-0.0877928,-0.225047,-0.581111,-0.170872,-0.765815,-2.75364,0.186477,0.17879,0.020182,-0.0228063,0.0560613,-0.581111,-0.150712,-0.0525097,-2.75364,-0.120608,-0.0945776,-0.30665,0.150022,0.138031,-0.581111,0.099716,0.0390027,-2.75364,-0.111513,-0.147252,-0.30665,-0.0105959,-0.0796931,0.020182,0.0513745,-0.00565455
-0.291634,0.550111,0.484316,0.0373195,-0.0246136,-0.187484,-0.560703,-0.191209,-0.740181,-2.67501,0.185912,0.175076,0.0373195,-0.0288501,0.0549019,-0.560703,-0.141154,-0.048971,-2.67501,-0.109985,-0.0886319,-0.291634,0.147947,0.136926,-0.560703,0.0902288,0.0415191,-2.67501,-0.110739,-0.142741,-0.291634,-0.016539,-0.0759447,0.0373195,0.0765819,-0.0028574
-0.276617,0.525296,0.461954,0.054457,0.0385656,-0.14992,-0.540294,-0.227739,-0.714546,-2.59637,0.185268,0.171361,0.054457,-0.034894,0.0537425,-0.540294,-0.128151,-0.0454323,-2.59637,-0.0991226,-0.0826862,-0.276617,0.146249,0.135821,-0.540294,0.079262,0.0440355,-2.59637,-0.110055,-0.138231,-0.276617,-0.023953,-0.0721963,0.054457,0.101789,-6.02379e-05
-0.261601,0.500482,0.439592,0.0715945,0.0896248,-0.112356,-0.519886,-0.270101,-0.688912,-2.51774,0.184487,0.167647,0.0715945,-0.037945,0.052583,-0.519886,-0.113863,-0.0418936,-2.51774,-0.0879107,-0.0767405,-0.261601,0.144552,0.134716,-0.519886,0.0681941,0.0465519,-2.51774,-0.109497,-0.133721,-0.261601,-0.0313669,-0.0684479,0.0715945,0.11761,0.00273692
-0.246584,0.475667,0.41723,0.088732,0.128178,-0.074792,-0.499477,-0.314757,-0.663278,-2.4391,0.183545,0.163932,0.088732,-0.0379312,0.0514236,-0.499477,-0.0990547,-0.0383549,-2.4391,-0.0765368,-0.0707948,-0.246584,0.142854,0.133611,-0.499477,0.057228,0.0490682,-2.4391,-0.10898,-0.129211,-0.246584,-0.0387808,-0.0646996,0.088732,0.12271,0.00553408
-0.231568,0.450376,0.394868,0.10587,0.158451,-0.0372282,-0.479068,-0.360638,-0.637644,-2.36047,0.182493,0.160218,0.10587,-0.0358732,0.0502642,-0.479068,-0.0839346,-0.0348162,-2.36047,-0.0651008,-0.0648491,-0.231568,0.141472,0.132506,-0.479068,0.0466529,0.0515846,-2.36047,-0.108471,-0.124701,-0.231568,-0.0464282,-0.0609512,0.10587,0.119909,0.00833123
-0.216551,0.424675,0.372506,0.123007,0.182039,0.000335621,-0.45866,-0.408234,-0.612009,-2.28184,0.181348,0.156504,0.123007,-0.0321232,0.0491048,-0.45866,-0.068377,-0.0312776,-2.28184,-0.0536757,-0.0589034,-0.216551,0.140368,0.131402,-0.45866,0.0366358,0.054101,-2.28184,-0.107941,-0.12019,-0.216551,-0.0540557,-0.0572028,0.123007,0.110598,0.0111284
-0.201535,0.398576,0.350144,0.140145,0.198823,0.0378995,-0.438251,-0.456033,-0.586375,-2.2032,0.179991,0.152789,0.140145,-0.0265701,0.0479454,-0.438251,-0.0526613,-0.0277389,-2.2032,-0.0423325,-0.0529576,-0.201535,0.139542,0.130297,-0.438251,0.0277234,0.0566174,-2.2032,-0.10734,-0.11568,-0.201535,-0.0612824,-0.0534544,0.140145,0.0944059,0.0139255
-0.186519,0.372103,0.327782,0.157282,0.213592,0.0754633,-0.417843,-0.501514,-0.560741,-2.12457,0.178458,0.149075,0.157282,-0.0204481,0.046786,-0.417843,-0.0372426,-0.0242002,-2.12457,-0.0311555,-0.0470119,-0.186519,0.138982,0.129192,-0.417843,0.0209462,0.0591337,-2.12457,-0.106636,-0.11117,-0.186519,-0.0679545,-0.0497061,0.157282,0.076066,0.0167227
-0.171502,0.345179,0.30542,0.17442,0.224507,0.113027,-0.397434,-0.546831,-0.535107,-2.04594,0.176571,0.145361,0.17442,-0.0131736,0.0456266,-0.397434,-0.0218453,-0.0206615,-2.04594,-0.0205126,-0.0410662,-0.171502,0.138736,0.128087,-0.397434,0.0143176,0.0616501,-2.04594,-0.105641,-0.10666,-0.171502,-0.0737725,-0.0459577,0.17442,0.0534157,0.0195199
-0.156486,0.317469,0.283058,0.191557,0.233992,0.150591,-0.377025,-0.58975,-0.509472,-1.9673,0.174563,0.141646,0.191557,-0.00512425,0.0444672,-0.377025,-0.00683927,-0.0171228,-1.9673,-0.0100657,-0.0351205,-0.156486,0.138792,0.126982,-0.377025,0.00907131,0.0641665,-1.9673,-0.104541,-0.10215,-0.156486,-0.0774884,-0.0422093,0.191557,0.0280738,0.022317
-0.141469,0.289557,0.260697,0.208695,0.243294,0.188155,-0.356617,-0.628159,-0.483838,-1.88867,0.172555,0.137932,0.208695,0.00305479,0.0433078,-0.356617,0.00741022,-0.0135841,-1.88867,0.000381289,-0.0291748,-0.141469,0.138926,0.125877,-0.356617,0.00622892,0.0666829,-1.88867,-0.103442,-0.0976394,-0.141469,-0.0806606,-0.0384609,0.208695,0.00229155,0.0251142
-0.126453,0.261645,0.238335,0.225832,0.252724,0.225719,-0.336208,-0.662173,-0.458204,-1.81003,0.170235,0.134218,0.225832,0.0112346,0.0421484,-0.336208,0.020887,-0.0100454,-1.81003,0.0101825,-0.0232291,-0.126453,0.13906,0.124773,-0.336208,0.00537815,0.0691992,-1.81003,-0.10201,-0.0931292,-0.126453,-0.0838328,-0.0347125,0.225832,-0.0234705,0.0279113
