rep,id,eta_Vc,eta_Ke,eta_Kpc,eta_Kcp
1,1,0.646150541913507,0.211477622755019,-0.194410563405715,-0.488654223822707
2,1,1.34676121868995,0.14998676624723,0.172197709000367,0.083176178001743
3,1,0.108465786842072,0.233687646768013,-0.841114923013429,-0.617518214493959
1,2,0.582886709065469,-0.546729519059546,-1.47306642566807,-0.833016562726387
2,2,1.66034190087242,-0.889538891478641,-2.25399059171197,0.68269399805098
3,2,1.63113082517837,-0.785016496601344,-1.37173996006488,0.017410246196254
1,3,0.966562123734587,0.346869481946935,1.47444875934114,1.81182064436088
2,3,1.71377394743598,-0.0423762199927212,1.47655853848562,1.87259234378291
3,3,-0.106462259253424,0.4012959866326,1.4599687498948,0.753041706448075
1,4,1.4538239406343,-0.0917433759925559,-0.826169533626735,-0.0411394601518111
2,4,0.477481933183724,0.113234983621147,-2.5093178876999,0.767699344637461
3,4,1.59954427366918,-0.246788452596818,-1.06824072148012,-0.380711593299265
1,5,1.22943498312087,-0.204518654102448,-0.608214661313565,-1.49339582132276
2,5,0.293624108034855,0.34039487483691,2.2400160649946,0.178477252496884
3,5,-1.98846753731309,0.773441521774247,2.13941978808564,-1.45336749554855
1,6,0.327844250397103,0.528475969732297,0.429546765132941,0.103843415852936
2,6,0.0469356356713417,0.511740206545054,0.240189956970817,-0.149250690560254
3,6,1.01299372517086,-0.0384424546918717,0.654540903196426,-0.460167437129153
1,7,0.320278935310729,0.582287371301635,0.403340269908423,1.5464303237397
2,7,0.697389034709588,0.392518002633085,0.315192686271266,1.39511965715346
3,7,0.210203543097395,0.512687372585755,0.175927308841524,0.909558536370267
1,8,0.147211794052526,-0.41847214486073,1.39735172227883,-1.58040843821466
2,8,0.0106894908377804,0.0832719357894327,1.51099461235834,0.0644783799220296
3,8,0.547943643807237,-0.114413046912608,1.58469154969122,0.785757619219139
1,9,0.633212574079231,0.228320564548694,1.23948041114286,-0.808102337707559
2,9,0.717013251312768,0.211532813942814,1.30747841245526,-0.666448096052832
3,9,-0.147758405447556,0.505124048540274,1.26696780341213,-1.18280648170684
1,10,-0.0459268072378691,0.558425374284119,-0.660174352106735,-0.0544261306934697
2,10,0.57535042812363,0.359779522234909,-0.718004575614169,0.181524050267163
3,10,1.15802552373979,0.616478936869507,-1.40381975188119,1.99048722013764
1,11,-0.500192027106991,0.0987110263085984,-0.980492082139353,-0.883258975090712
2,11,-0.157350021810747,0.114074328756762,0.754290898270416,-2.66217628315492
3,11,-0.932213196835692,0.206337675905691,-1.51506552180357,-1.83207407935912
1,12,-0.499673123055878,-0.114718442073275,1.54622626406419,3.74236102163521
2,12,0.030702509812544,-0.472061887777339,1.8201245663684,4.14107534098113
3,12,0.600503952887554,-1.20664141661612,2.12401727031909,3.08332751401239
1,13,-2.77371363358214,-0.475455168083134,0.349715133162706,-4.56167947355281
2,13,-1.82868625823926,-0.652473630007784,-0.680316305159494,-4.54201730759601
3,13,-1.10205769564395,-0.684072454923338,1.95430894423701,2.59271947039966
1,14,-1.2020059186021,-0.216568108370718,-2.58320697219445,-1.01255671298997
2,14,-2.31802276966985,-0.0250200166559449,-1.91848771404496,-2.00829123121758
3,14,-1.42834102554775,-0.242887183366338,-1.82987604864457,-1.64771724280695
1,15,-1.07268732176843,-1.70269978754099,2.04374984680672,1.11631279429096
2,15,-2.66229917249455,-0.269189046173793,1.97547224162087,3.36467722469948
3,15,-3.09835738290509,0.349443329109277,2.38880436411705,4.80266643551773
1,16,1.26919982351171,-0.0634885187544475,0.459590193661472,-0.553977403766907
2,16,0.520478589468222,-0.271571568332277,-0.974427167420423,-1.65504353923681
3,16,0.388587292755132,-0.134127850407954,-1.41901080840285,-0.737014817967278
1,17,0.445705052289398,0.0779570391450193,-0.226458889373226,0.347833862090456
2,17,0.868894962344919,-0.0163917347324908,0.214689674873555,1.20106412195558
3,17,-0.335531952409676,0.382384185192464,0.215339097626554,0.0546099700445151
1,18,-1.36342241414317,0.546011266324025,-1.95054311111681,-0.0763705149914413
2,18,-1.51279708675485,0.904836555322432,-1.20735743082016,-0.149853342940004
3,18,-1.74964783441907,1.1441059999204,-1.12165503878332,-0.114222808250874
1,19,-0.468905386136243,-0.500121209262906,0.412135530234651,-1.76707179780957
2,19,1.11276219141386,-0.909668463779346,-0.448847358790977,-1.05222361153642
3,19,-0.910373888523264,-0.360910363133501,0.409099354075994,-1.63643175823799
1,20,-0.304531727688264,-0.0132705223078485,-0.0389847945641431,0.830645248928951
2,20,-0.79062610995797,0.158189706948388,-0.00717475153750247,0.609367653020796
3,20,-0.499137046338055,0.213440928850544,0.218649558209794,1.20162785450461
1,21,-0.0889680300898084,0.172344480177248,-1.99402397312985,-0.677217017041113
2,21,2.11369248983789,-0.200015660724368,-1.15782741031538,-0.306005367399949
3,21,1.29662291009339,-0.00165008678205519,0.0887083134961699,-0.822872877970978
